#Efci:-15.6506872611
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -15.64924449084237      -0.02450736609554         1            38       +0.0021975850       1.560e+12
           2        -15.64927494706572      -0.00003045622335         2            76       +0.0005056900       3.120e+12
           3        -15.64954014578558      -0.00026519871986         3           114       +0.0004651870       4.680e+12
           4        -15.64957361711830      -0.00003347133272         4           152       +0.0003268780       6.240e+12
           5        -15.64984686601717      -0.00027324889887         5           190       +0.0002837220       7.800e+12
           6        -15.64978551577019      +0.00006135024698         6           228       +0.0002948543       9.360e+12
           7        -15.64968051822049      +0.00010499754970         7           266       +0.0002928304       1.092e+13
           8        -15.64925202650866      +0.00042849171183         8           304       +0.0002870794       1.248e+13
           9        -15.64953957135536      -0.00028754484670         9           342       +0.0002498984       1.404e+13
          10        -15.64983155654607      -0.00029198519071        10           380       +0.0002231070       1.560e+13
          11        -15.64953352383352      +0.00029803271255        11           418       +0.0002203965       1.716e+13
          12        -15.64986425512876      -0.00033073129523        12           456       +0.0002151711       1.872e+13
          13        -15.64966008149292      +0.00020417363584        13           494       +0.0002012602       2.028e+13
          14        -15.64966441585728      -0.00000433436437        14           532       +0.0002425191       2.184e+13
          15        -15.64964786289223      +0.00001655296505        15           570       +0.0002523830       2.340e+13
          16        -15.64959870749028      +0.00004915540195        16           608       +0.0002261629       2.496e+13
          17        -15.64990733072545      -0.00030862323517        17           646       +0.0002289006       2.652e+13
          18        -15.64934600663941      +0.00056132408604        18           684       +0.0001767339       2.808e+13
          19        -15.64979714131487      -0.00045113467546        19           722       +0.0001826348       2.964e+13
          20        -15.64997249719040      -0.00017535587553        20           760       +0.0001804396       3.120e+13
          21        -15.64954693910096      +0.00042555808943        21           798       +0.0001735813       3.276e+13
          22        -15.64986666508700      -0.00031972598604        22           836       +0.0002015533       3.432e+13
          23        -15.64896488136125      +0.00090178372575        23           874       +0.0001822367       3.588e+13
          24        -15.64966609426278      -0.00070121290153        24           912       +0.0001969773       3.744e+13
          25        -15.64976594148767      -0.00009984722489        25           950       +0.0001944055       3.900e+13
