#Efci:-15.6506872611
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -15.54482691722956      +0.07991020751726         1            38       +0.0021842381       1.560e+16
           2        -15.20640543679403      +0.33842148043553         2            76       +0.0043379083       3.120e+16
           3        -15.63008994960484      -0.42368451281081         3           114       +0.0009992652       4.680e+16
           4        -15.64744517593809      -0.01735522633326         4           152       +0.0003045746       6.240e+16
           5        -15.64557960936918      +0.00186556656891         5           190       +0.0003895406       7.800e+16
           6        -15.64998260877919      -0.00440299941001         6           228       +0.0001128551       9.360e+16
           7        -15.65043100750944      -0.00044839873025         7           266       +0.0000111173       1.092e+17
           8        -15.65043178279574      -0.00000077528630         8           304       +0.0000117058       1.248e+17
           9        -15.65043370698321      -0.00000192418747         9           342       +0.0000065155       1.404e+17
          10        -15.65043142764834      +0.00000227933487        10           380       +0.0000103913       1.560e+17
          11        -15.65043495874310      -0.00000353109476        11           418       +0.0000019354       1.716e+17
          12        -15.65043499117474      -0.00000003243164        12           456       +0.0000014700       1.872e+17
          13        -15.65043498045810      +0.00000001071664        13           494       +0.0000015528       2.028e+17
          14        -15.65043499119553      -0.00000001073743        14           532       +0.0000011673       2.184e+17
          15        -15.65043496581842      +0.00000002537712        15           570       +0.0000016423       2.340e+17
          16        -15.65043498073699      -0.00000001491857        16           608       +0.0000017409       2.496e+17
          17        -15.65043497096026      +0.00000000977674        17           646       +0.0000018178       2.652e+17
          18        -15.65043497945276      -0.00000000849250        18           684       +0.0000015936       2.808e+17
          19        -15.65043497924348      +0.00000000020928        19           722       +0.0000016793       2.964e+17
          20        -15.65043498050212      -0.00000000125864        20           760       +0.0000015091       3.120e+17
          21        -15.65043496356033      +0.00000001694179        21           798       +0.0000020433       3.276e+17
          22        -15.65043498133018      -0.00000001776985        22           836       +0.0000015712       3.432e+17
          23        -15.65043498150323      -0.00000000017305        23           874       +0.0000015904       3.588e+17
          24        -15.65043497727737      +0.00000000422585        24           912       +0.0000017639       3.744e+17
          25        -15.65043498192771      -0.00000000465034        25           950       +0.0000016385       3.900e+17
