#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.58979848947126      -0.03159600173046         1            32       +0.0028776254       6.600e+15
           2        -75.59668911212523      -0.00689062265397         2            64       +0.0012964796       1.320e+16
           3        -75.59895013993864      -0.00226102781340         3            96       +0.0002180760       1.980e+16
           4        -75.59903159338127      -0.00008145344263         4           128       +0.0000445437       2.640e+16
           5        -75.59903550361935      -0.00000391023808         5           160       +0.0000139338       3.300e+16
           6        -75.59903590801549      -0.00000040439615         6           192       +0.0000041007       3.960e+16
           7        -75.59903594427823      -0.00000003626273         7           224       +0.0000014296       4.620e+16
           8        -75.59903595459102      -0.00000001031279         8           256       +0.0000012986       5.280e+16
           9        -75.59903595212606      +0.00000000246496         9           288       +0.0000011696       5.940e+16
          10        -75.59903596735433      -0.00000001522827        10           320       +0.0000012251       6.600e+16
          11        -75.59903597931856      -0.00000001196423        11           352       +0.0000013012       7.260e+16
          12        -75.59903596186177      +0.00000001745678        12           384       +0.0000010870       7.920e+16
          13        -75.59903595057345      +0.00000001128832        13           416       +0.0000012160       8.580e+16
          14        -75.59903595525945      -0.00000000468600        14           448       +0.0000011070       9.240e+16
          15        -75.59903596019984      -0.00000000494039        15           480       +0.0000012713       9.900e+16
          16        -75.59903596766387      -0.00000000746402        16           512       +0.0000012558       1.056e+17
          17        -75.59903597276660      -0.00000000510273        17           544       +0.0000014730       1.122e+17
          18        -75.59903596194765      +0.00000001081895        18           576       +0.0000011927       1.188e+17
          19        -75.59903596725196      -0.00000000530432        19           608       +0.0000011856       1.254e+17
          20        -75.59903595490177      +0.00000001235020        20           640       +0.0000012884       1.320e+17
          21        -75.59903596632324      -0.00000001142148        21           672       +0.0000011985       1.386e+17
          22        -75.59903596243004      +0.00000000389321        22           704       +0.0000012413       1.452e+17
          23        -75.59903595486328      +0.00000000756675        23           736       +0.0000011712       1.518e+17
          24        -75.59903595041949      +0.00000000444379        24           768       +0.0000012003       1.584e+17
          25        -75.59903596742438      -0.00000001700489        25           800       +0.0000011286       1.650e+17
