#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.59351712371571      -0.03531463597491         1            32       +0.0029191562       1.320e+10
           2        -75.59570693307002      -0.00218980935431         2            64       +0.0015703024       2.640e+10
           3        -75.59713711028942      -0.00143017721940         3            96       +0.0009347180       3.960e+10
           4        -75.59605716230794      +0.00107994798148         4           128       +0.0012470235       5.280e+10
           5        -75.59694539657647      -0.00088823426853         5           160       +0.0010886022       6.600e+10
           6        -75.59604262714851      +0.00090276942797         6           192       +0.0008813389       7.920e+10
           7        -75.59614184867763      -0.00009922152913         7           224       +0.0009505108       9.240e+10
           8        -75.59765102107998      -0.00150917240235         8           256       +0.0007892780       1.056e+11
           9        -75.59679064976218      +0.00086037131780         9           288       +0.0010195030       1.188e+11
          10        -75.59517180606250      +0.00161884369969        10           320       +0.0009898129       1.320e+11
          11        -75.59738633557890      -0.00221452951641        11           352       +0.0009108347       1.452e+11
          12        -75.59628347895024      +0.00110285662866        12           384       +0.0009589853       1.584e+11
          13        -75.59699056585883      -0.00070708690859        13           416       +0.0009389966       1.716e+11
          14        -75.59707422437882      -0.00008365851998        14           448       +0.0009003089       1.848e+11
          15        -75.59663822271028      +0.00043600166853        15           480       +0.0009603258       1.980e+11
          16        -75.59680506663800      -0.00016684392772        16           512       +0.0010164870       2.112e+11
          17        -75.59489543162955      +0.00190963500845        17           544       +0.0009494364       2.244e+11
          18        -75.59635972842763      -0.00146429679808        18           576       +0.0007972467       2.376e+11
          19        -75.59584898175368      +0.00051074667395        19           608       +0.0008577444       2.508e+11
          20        -75.59398064379550      +0.00186833795817        20           640       +0.0009594970       2.640e+11
          21        -75.59650111865658      -0.00252047486107        21           672       +0.0008516668       2.772e+11
          22        -75.59726434566275      -0.00076322700617        22           704       +0.0007171419       2.904e+11
          23        -75.59535942208815      +0.00190492357460        23           736       +0.0010248769       3.036e+11
          24        -75.59711390011844      -0.00175447803029        24           768       +0.0007600107       3.168e+11
          25        -75.59549403342585      +0.00161986669259        25           800       +0.0008847169       3.300e+11
