#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -75.43223292727043      +0.12596956047037         1            32       +0.0029486805       1.320e+10
           2        -74.88984092335269      +0.54239200391774         2            64       +0.0058393960       2.640e+10
           3        -75.55331293669413      -0.66347201334143         3            96       +0.0017000418       3.960e+10
           4        -75.56535860426386      -0.01204566756974         4           128       +0.0014758560       5.280e+10
           5        -75.55818188118067      +0.00717672308319         5           160       +0.0014614887       6.600e+10
           6        -75.56384549018667      -0.00566360900599         6           192       +0.0015498827       7.920e+10
           7        -75.57348687142483      -0.00964138123817         7           224       +0.0012986396       9.240e+10
           8        -75.56382570233758      +0.00966116908725         8           256       +0.0014593430       1.056e+11
           9        -75.56033892347925      +0.00348677885833         9           288       +0.0016383338       1.188e+11
          10        -75.56487681902003      -0.00453789554078        10           320       +0.0016312235       1.320e+11
          11        -75.56068782932260      +0.00418898969743        11           352       +0.0017663339       1.452e+11
          12        -75.56900019766850      -0.00831236834590        12           384       +0.0015523480       1.584e+11
          13        -75.54363596329507      +0.02536423437343        13           416       +0.0021068955       1.716e+11
          14        -75.52974919992070      +0.01388676337437        14           448       +0.0020205407       1.848e+11
          15        -75.51733628915663      +0.01241291076407        15           480       +0.0031004712       1.980e+11
          16        -75.52860203448206      -0.01126574532543        16           512       +0.0020582631       2.112e+11
          17        -75.55333153306599      -0.02472949858392        17           544       +0.0019125159       2.244e+11
          18        -75.54301616152462      +0.01031537154137        18           576       +0.0020099762       2.376e+11
          19        -75.53529969916882      +0.00771646235580        19           608       +0.0027450553       2.508e+11
          20        -75.56158550825400      -0.02628580908518        20           640       +0.0018217202       2.640e+11
          21        -75.56228849750708      -0.00070298925309        21           672       +0.0018473603       2.772e+11
          22        -75.55849175581719      +0.00379674168990        22           704       +0.0018797328       2.904e+11
          23        -75.54094375226917      +0.01754800354801        23           736       +0.0020755662       3.036e+11
          24        -75.51823041625632      +0.02271333601286        24           768       +0.0027994393       3.168e+11
          25        -75.55158139810703      -0.03335098185072        25           800       +0.0024634021       3.300e+11
