#Efci:-4.3360656518
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -4.31311972602814      -0.11173629196332         1           184       +0.0040605834       3.700e+16
           2        -4.32944491641594      -0.01632519038780         2           368       +0.0014613428       7.400e+16
           3        -4.33369182324853      -0.00424690683259         3           552       +0.0004042746       1.110e+17
           4        -4.33434572355465      -0.00065390030611         4           736       +0.0001582500       1.480e+17
           5        -4.33447641548842      -0.00013069193377         5           920       +0.0000813067       1.850e+17
           6        -4.33452875349315      -0.00005233800473         6          1104       +0.0000328118       2.220e+17
           7        -4.33453672331760      -0.00000796982444         7          1288       +0.0000099784       2.590e+17
           8        -4.33453706834799      -0.00000034503039         8          1472       +0.0000051277       2.960e+17
           9        -4.33453715334548      -0.00000008499750         9          1656       +0.0000029236       3.330e+17
          10        -4.33453715913888      -0.00000000579340        10          1840       +0.0000025082       3.700e+17
          11        -4.33453715921771      -0.00000000007883        11          2024       +0.0000024049       4.070e+17
          12        -4.33453716110756      -0.00000000188985        12          2208       +0.0000022789       4.440e+17
          13        -4.33453716076091      +0.00000000034665        13          2392       +0.0000022689       4.810e+17
          14        -4.33453716177086      -0.00000000100995        14          2576       +0.0000021101       5.180e+17
          15        -4.33453716098536      +0.00000000078550        15          2760       +0.0000021651       5.550e+17
          16        -4.33453716236050      -0.00000000137515        16          2944       +0.0000021056       5.920e+17
          17        -4.33453716184243      +0.00000000051807        17          3128       +0.0000022408       6.290e+17
          18        -4.33453716110913      +0.00000000073331        18          3312       +0.0000021666       6.660e+17
          19        -4.33453716044800      +0.00000000066113        19          3496       +0.0000022587       7.030e+17
          20        -4.33453716173888      -0.00000000129088        20          3680       +0.0000020878       7.400e+17
          21        -4.33453715967613      +0.00000000206275        21          3864       +0.0000022507       7.770e+17
          22        -4.33453716163998      -0.00000000196385        22          4048       +0.0000022656       8.140e+17
          23        -4.33453716235007      -0.00000000071009        23          4232       +0.0000020937       8.510e+17
          24        -4.33453716233149      +0.00000000001858        24          4416       +0.0000021235       8.880e+17
          25        -4.33453716219088      +0.00000000014061        25          4600       +0.0000020697       9.250e+17
