#Efci:-4.3360656518
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -1.97549715630620      +2.22588627775862         1           184       +0.0044906203       7.400e+10
           2        -0.82371204847194      +1.15178510783425         2           368       +0.0098298528       1.480e+11
           3        -0.72634631003369      +0.09736573843825         3           552       +0.0097093946       2.220e+11
           4        -0.67765797612370      +0.04868833390999         4           736       +0.0090868468       2.960e+11
           5        -0.68599531605578      -0.00833733993208         5           920       +0.0088245742       3.700e+11
           6        -0.65538843115785      +0.03060688489793         6          1104       +0.0090062561       4.440e+11
           7        -0.62419177717933      +0.03119665397852         7          1288       +0.0087977348       5.180e+11
           8        -0.58616660605060      +0.03802517112873         8          1472       +0.0087844586       5.920e+11
           9        -0.69647671123147      -0.11031010518087         9          1656       +0.0087305330       6.660e+11
          10        -0.70019838641980      -0.00372167518832        10          1840       +0.0086655032       7.400e+11
          11        -0.62101719796766      +0.07918118845213        11          2024       +0.0085435744       8.140e+11
          12        -0.77774163771455      -0.15672443974689        12          2208       +0.0085774786       8.880e+11
          13        -0.65004347055159      +0.12769816716296        13          2392       +0.0079425375       9.620e+11
          14        -0.57767204289462      +0.07237142765698        14          2576       +0.0079582191       1.036e+12
          15        -0.67868354971942      -0.10101150682480        15          2760       +0.0074068246       1.110e+12
          16        -0.60893638219045      +0.06974716752896        16          2944       +0.0069650531       1.184e+12
          17        -0.61942770145409      -0.01049131926364        17          3128       +0.0067987495       1.258e+12
          18        -0.64138359023568      -0.02195588878159        18          3312       +0.0065443533       1.332e+12
          19        -0.38891571985944      +0.25246787037623        19          3496       +0.0061452263       1.406e+12
          20        -0.35298964029703      +0.03592607956242        20          3680       +0.0060733117       1.480e+12
          21        -0.62418555769138      -0.27119591739436        21          3864       +0.0059274131       1.554e+12
          22        -0.36151823401205      +0.26266732367933        22          4048       +0.0057849561       1.628e+12
          23        -0.58453017869821      -0.22301194468616        23          4232       +0.0056045032       1.702e+12
          24        -0.65488188209068      -0.07035170339247        24          4416       +0.0054449862       1.776e+12
          25        -0.60564772723735      +0.04923415485333        25          4600       +0.0053197653       1.850e+12
