#Efci:-7.9723355824
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -7.96923638885984      -0.01726484990118         1            92       +0.0014205851       1.860e+16
           2        -7.97164133447700      -0.00240494561716         2           184       +0.0005115994       3.720e+16
           3        -7.97218891139989      -0.00054757692290         3           276       +0.0000977854       5.580e+16
           4        -7.97228236889278      -0.00009345749289         4           368       +0.0000437492       7.440e+16
           5        -7.97232170859640      -0.00003933970362         5           460       +0.0000166928       9.300e+16
           6        -7.97232546203687      -0.00000375344047         6           552       +0.0000041610       1.116e+17
           7        -7.97232551208381      -0.00000005004694         7           644       +0.0000018285       1.302e+17
           8        -7.97232551621037      -0.00000000412655         8           736       +0.0000013601       1.488e+17
           9        -7.97232551514594      +0.00000000106443         9           828       +0.0000013676       1.674e+17
          10        -7.97232551651475      -0.00000000136881        10           920       +0.0000013866       1.860e+17
          11        -7.97232551589279      +0.00000000062196        11          1012       +0.0000014134       2.046e+17
          12        -7.97232551661590      -0.00000000072311        12          1104       +0.0000014806       2.232e+17
          13        -7.97232551763118      -0.00000000101528        13          1196       +0.0000013381       2.418e+17
          14        -7.97232551589579      +0.00000000173539        14          1288       +0.0000013857       2.604e+17
          15        -7.97232551438412      +0.00000000151166        15          1380       +0.0000014112       2.790e+17
          16        -7.97232551645437      -0.00000000207024        16          1472       +0.0000014742       2.976e+17
          17        -7.97232551552967      +0.00000000092469        17          1564       +0.0000015597       3.162e+17
          18        -7.97232551459722      +0.00000000093246        18          1656       +0.0000014629       3.348e+17
          19        -7.97232551713978      -0.00000000254256        19          1748       +0.0000015868       3.534e+17
          20        -7.97232551675016      +0.00000000038962        20          1840       +0.0000013683       3.720e+17
          21        -7.97232551647046      +0.00000000027970        21          1932       +0.0000013998       3.906e+17
          22        -7.97232551595249      +0.00000000051797        22          2024       +0.0000014921       4.092e+17
          23        -7.97232551618216      -0.00000000022967        23          2116       +0.0000014670       4.278e+17
          24        -7.97232551641222      -0.00000000023006        24          2208       +0.0000013585       4.464e+17
          25        -7.97232551569553      +0.00000000071669        25          2300       +0.0000014274       4.650e+17
