#Efci:-7.9723355824
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -7.97180455321355      -0.01983301425489         1            92       +0.0014205225       3.720e+18
           2        -7.97220220408164      -0.00039765086810         2           184       +0.0001166568       7.440e+18
           3        -7.97229209326349      -0.00008988918185         3           276       +0.0000759359       1.116e+19
           4        -7.97231745421125      -0.00002536094776         4           368       +0.0000221233       1.488e+19
           5        -7.97232539519378      -0.00000794098253         5           460       +0.0000037215       1.860e+19
           6        -7.97232550685626      -0.00000011166248         6           552       +0.0000018274       2.232e+19
           7        -7.97232550154445      +0.00000000531181         7           644       +0.0000013681       2.604e+19
           8        -7.97232550655678      -0.00000000501234         8           736       +0.0000012764       2.976e+19
           9        -7.97232549841192      +0.00000000814486         9           828       +0.0000010927       3.348e+19
          10        -7.97232550440667      -0.00000000599475        10           920       +0.0000010111       3.720e+19
          11        -7.97232550175972      +0.00000000264695        11          1012       +0.0000009622       4.092e+19
          12        -7.97232550594543      -0.00000000418571        12          1104       +0.0000009150       4.464e+19
          13        -7.97232550470872      +0.00000000123672        13          1196       +0.0000009622       4.836e+19
          14        -7.97232550166902      +0.00000000303969        14          1288       +0.0000009636       5.208e+19
          15        -7.97232550283760      -0.00000000116858        15          1380       +0.0000009299       5.580e+19
          16        -7.97232549867578      +0.00000000416182        16          1472       +0.0000009501       5.952e+19
          17        -7.97232550781178      -0.00000000913600        17          1564       +0.0000010269       6.324e+19
          18        -7.97232550331510      +0.00000000449668        18          1656       +0.0000009401       6.696e+19
          19        -7.97232550169056      +0.00000000162454        19          1748       +0.0000009258       7.068e+19
          20        -7.97232550814706      -0.00000000645650        20          1840       +0.0000009720       7.440e+19
          21        -7.97232550752601      +0.00000000062104        21          1932       +0.0000010050       7.812e+19
          22        -7.97232550140595      +0.00000000612006        22          2024       +0.0000009688       8.184e+19
          23        -7.97232550429591      -0.00000000288995        23          2116       +0.0000009074       8.556e+19
          24        -7.97232550361925      +0.00000000067666        24          2208       +0.0000010274       8.928e+19
          25        -7.97232549878941      +0.00000000482984        25          2300       +0.0000010913       9.300e+19
