#Efci:-7.9723355824
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -7.88394899329477      +0.06802254566389         1            92       +0.0020205995       3.720e+10
           2        -7.61513732865281      +0.26881166464196         2           184       +0.0032232513       7.440e+10
           3        -7.75367451991809      -0.13853719126528         3           276       +0.0026065547       1.116e+11
           4        -7.77429156081658      -0.02061704089849         4           368       +0.0026856628       1.488e+11
           5        -7.71231912262957      +0.06197243818702         5           460       +0.0029663974       1.860e+11
           6        -7.91448069588003      -0.20216157325046         6           552       +0.0018522924       2.232e+11
           7        -7.90294751781103      +0.01153317806900         7           644       +0.0020531398       2.604e+11
           8        -7.85612979161974      +0.04681772619129         8           736       +0.0023395135       2.976e+11
           9        -7.88630954920246      -0.03017975758272         9           828       +0.0021086159       3.348e+11
          10        -7.90109377790641      -0.01478422870395        10           920       +0.0019901264       3.720e+11
          11        -7.89722329718408      +0.00387048072233        11          1012       +0.0022675871       4.092e+11
          12        -7.90364481693214      -0.00642151974806        12          1104       +0.0018655981       4.464e+11
          13        -7.89352245429740      +0.01012236263474        13          1196       +0.0021862111       4.836e+11
          14        -7.74309488803336      +0.15042756626404        14          1288       +0.0033073679       5.208e+11
          15        -7.87784950995163      -0.13475462191827        15          1380       +0.0023341656       5.580e+11
          16        -7.93312668596451      -0.05527717601287        16          1472       +0.0016211996       5.952e+11
          17        -7.92139850683856      +0.01172817912594        17          1564       +0.0018573355       6.324e+11
          18        -7.88938374203507      +0.03201476480349        18          1656       +0.0022559396       6.696e+11
          19        -7.90873576148574      -0.01935201945067        19          1748       +0.0021321768       7.068e+11
          20        -7.89895910367792      +0.00977665780782        20          1840       +0.0021117376       7.440e+11
          21        -7.90907338520247      -0.01011428152455        21          1932       +0.0019894874       7.812e+11
          22        -7.93128852699638      -0.02221514179391        22          2024       +0.0017648132       8.184e+11
          23        -7.90548221947320      +0.02580630752318        23          2116       +0.0020530567       8.556e+11
          24        -7.92573638935871      -0.02025416988551        24          2208       +0.0018973333       8.928e+11
          25        -7.89203617376334      +0.03370021559537        25          2300       +0.0024461152       9.300e+11
