#Efci:-148.8881375281
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -148.79765321952274      -0.01359712046258         1            54       +0.0046893205       1.100e+18
           2        -148.80912236142379      -0.01146914190105         2           108       +0.0042736100       2.200e+18
           3        -148.87101178639446      -0.06188942497067         3           162       +0.0016239019       3.300e+18
           4        -148.87224625023370      -0.00123446383924         4           216       +0.0007387894       4.400e+18
           5        -148.87168028480281      +0.00056596543089         5           270       +0.0006694002       5.500e+18
           6        -148.87389597423729      -0.00221568943448         6           324       +0.0003555690       6.600e+18
           7        -148.87410423972401      -0.00020826548672         7           378       +0.0002480177       7.700e+18
           8        -148.87452677977728      -0.00042254005328         8           432       +0.0002080300       8.800e+18
           9        -148.87501459246542      -0.00048781268814         9           486       +0.0002234773       9.900e+18
          10        -148.87507430475580      -0.00005971229038        10           540       +0.0002200750       1.100e+19
          11        -148.87634637518565      -0.00127207042985        11           594       +0.0002895270       1.210e+19
          12        -148.87704088795542      -0.00069451276977        12           648       +0.0002533760       1.320e+19
          13        -148.87832376330192      -0.00128287534650        13           702       +0.0001881453       1.430e+19
          14        -148.87912729780467      -0.00080353450275        14           756       +0.0001411803       1.540e+19
          15        -148.87929596419991      -0.00016866639524        15           810       +0.0001410043       1.650e+19
          16        -148.87937586286355      -0.00007989866364        16           864       +0.0000537058       1.760e+19
          17        -148.87938216705410      -0.00000630419055        17           918       +0.0000517982       1.870e+19
          18        -148.87938396994642      -0.00000180289231        18           972       +0.0000511776       1.980e+19
          19        -148.87940071936117      -0.00001674941475        19          1026       +0.0000445987       2.090e+19
          20        -148.87941021366674      -0.00000949430557        20          1080       +0.0000300629       2.200e+19
          21        -148.87941203915986      -0.00000182549311        21          1134       +0.0000267462       2.310e+19
          22        -148.87941160313204      +0.00000043602782        22          1188       +0.0000262389       2.420e+19
          23        -148.87941001178368      +0.00000159134837        23          1242       +0.0000258971       2.530e+19
          24        -148.87940911410200      +0.00000089768167        24          1296       +0.0000261450       2.640e+19
          25        -148.87941087960601      -0.00000176550401        25          1350       +0.0000260255       2.750e+19
