#Efci:-148.8881375281
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
           1        -148.84107462769248      -0.05701852863231         1            54       +0.0046267651       2.200e+10
           2        -148.84927517231321      -0.00820054462073         2           108       +0.0026349717       4.400e+10
           3        -148.87800376074813      -0.02872858843492         3           162       +0.0013169880       6.600e+10
           4        -148.87762284682194      +0.00038091392619         4           216       +0.0011940085       8.800e+10
           5        -148.87818383459773      -0.00056098777580         5           270       +0.0011173847       1.100e+11
           6        -148.87727994531420      +0.00090388928353         6           324       +0.0012015346       1.320e+11
           7        -148.87378930620389      +0.00349063911031         7           378       +0.0011463873       1.540e+11
           8        -148.87862185353652      -0.00483254733263         8           432       +0.0009371881       1.760e+11
           9        -148.87800307271527      +0.00061878082124         9           486       +0.0011905841       1.980e+11
          10        -148.87711951632406      +0.00088355639122        10           540       +0.0010218999       2.200e+11
          11        -148.87707093984622      +0.00004857647784        11           594       +0.0010693037       2.420e+11
          12        -148.87842175694385      -0.00135081709763        12           648       +0.0010868789       2.640e+11
          13        -148.87610554789245      +0.00231620905140        13           702       +0.0010923628       2.860e+11
          14        -148.87778813019267      -0.00168258230022        14           756       +0.0010975077       3.080e+11
          15        -148.87681804519764      +0.00097008499503        15           810       +0.0010564782       3.300e+11
          16        -148.87711870022545      -0.00030065502781        16           864       +0.0009788486       3.520e+11
          17        -148.87607183501504      +0.00104686521041        17           918       +0.0010074106       3.740e+11
          18        -148.87842017543096      -0.00234834041592        18           972       +0.0009993647       3.960e+11
          19        -148.87857486645413      -0.00015469102317        19          1026       +0.0010626476       4.180e+11
          20        -148.87765156894636      +0.00092329750777        20          1080       +0.0010000800       4.400e+11
          21        -148.87408327746394      +0.00356829148242        21          1134       +0.0011705531       4.620e+11
          22        -148.87445085709396      -0.00036757963002        22          1188       +0.0010146427       4.840e+11
          23        -148.87818750952550      -0.00373665243154        23          1242       +0.0010012103       5.060e+11
          24        -148.87803124794678      +0.00015626157872        24          1296       +0.0010593599       5.280e+11
          25        -148.87404660763971      +0.00398464030707        25          1350       +0.0011871423       5.500e+11
