#Efci:-154.4194058179
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
             1        -154.41505868113001      -0.01820153301938         1            15       +0.142129070663       2.541e+11
             2        -154.41717656843619      -0.00211788730618         2            30       +0.069203738016       5.083e+11
             3        -154.41927210969249      -0.00209554125630         3            45       +0.013630529862       7.624e+11
             4        -154.41940548696374      -0.00013337727125         4            60       +0.001316610059       1.017e+12
             5        -154.41940576388561      -0.00000027692187         5            75       +0.000223548319       1.271e+12
             6        -154.41940581416591      -0.00000005028031         6            90       +0.000056381163       1.525e+12
             7        -154.41940581473017      -0.00000000056426         7           105       +0.000060384780       1.779e+12
             8        -154.41940581173245      +0.00000000299772         8           120       +0.000043740180       2.033e+12
             9        -154.41940581443595      -0.00000000270350         9           135       +0.000044345679       2.287e+12
            10        -154.41940581476351      -0.00000000032756        10           150       +0.000039473243       2.541e+12
            11        -154.41940581198912      +0.00000000277439        11           165       +0.000046847021       2.796e+12
            12        -154.41940581468273      -0.00000000269361        12           180       +0.000045273270       3.050e+12
            13        -154.41940581368425      +0.00000000099848        13           195       +0.000042832663       3.304e+12
            14        -154.41940581606136      -0.00000000237711        14           210       +0.000035575146       3.558e+12
            15        -154.41940581500106      +0.00000000106030        15           225       +0.000042532276       3.812e+12
            16        -154.41940581690005      -0.00000000189900        16           240       +0.000025032770       4.066e+12
            17        -154.41940581509846      +0.00000000180160        17           255       +0.000035438349       4.320e+12
            18        -154.41940581516337      -0.00000000006492        18           270       +0.000035201515       4.574e+12
            19        -154.41940581372563      +0.00000000143774        19           285       +0.000038958137       4.829e+12
            20        -154.41940581385487      -0.00000000012923        20           300       +0.000049439603       5.083e+12
            21        -154.41940581316177      +0.00000000069309        21           315       +0.000050955142       5.337e+12
            22        -154.41940581215778      +0.00000000100400        22           330       +0.000052743971       5.591e+12
            23        -154.41940580988842      +0.00000000226936        23           345       +0.000068106418       5.845e+12
            24        -154.41940581347120      -0.00000000358278        24           360       +0.000047345214       6.099e+12
            25        -154.41940581294034      +0.00000000053086        25           375       +0.000046654912       6.353e+12
            26        -154.41940581493751      -0.00000000199717        26           390       +0.000050591460       6.608e+12
            27        -154.41940581348328      +0.00000000145423        27           405       +0.000048697185       6.862e+12
            28        -154.41940581584794      -0.00000000236466        28           420       +0.000043859499       7.116e+12
            29        -154.41940581502146      +0.00000000082647        29           435       +0.000039349870       7.370e+12
            30        -154.41940581289705      +0.00000000212441        30           450       +0.000043443685       7.624e+12
            31        -154.41940581512858      -0.00000000223153        31           465       +0.000041210527       7.878e+12
            32        -154.41940581464610      +0.00000000048249        32           480       +0.000043361860       8.132e+12
            33        -154.41940581475401      -0.00000000010792        33           495       +0.000044568043       8.387e+12
            34        -154.41940581319815      +0.00000000155586        34           510       +0.000040219465       8.641e+12
            35        -154.41940581556366      -0.00000000236551        35           525       +0.000035546504       8.895e+12
            36        -154.41940581539308      +0.00000000017059        36           540       +0.000037905380       9.149e+12
            37        -154.41940581240419      +0.00000000298888        37           555       +0.000039175543       9.403e+12
            38        -154.41940581342109      -0.00000000101690        38           570       +0.000040500217       9.657e+12
            39        -154.41940581462597      -0.00000000120488        39           585       +0.000039058099       9.911e+12
            40        -154.41940581217554      +0.00000000245043        40           600       +0.000047278954       1.017e+13
            41        -154.41940581504184      -0.00000000286630        41           615       +0.000039940095       1.042e+13
            42        -154.41940581336121      +0.00000000168063        42           630       +0.000047218993       1.067e+13
            43        -154.41940581538839      -0.00000000202718        43           645       +0.000047750717       1.093e+13
            44        -154.41940581433931      +0.00000000104907        44           660       +0.000038374688       1.118e+13
            45        -154.41940581645122      -0.00000000211190        45           675       +0.000031807284       1.144e+13
            46        -154.41940581541957      +0.00000000103165        46           690       +0.000032254328       1.169e+13
            47        -154.41940581498531      +0.00000000043426        47           705       +0.000042580072       1.194e+13
            48        -154.41940581490260      +0.00000000008271        48           720       +0.000050752414       1.220e+13
            49        -154.41940581390136      +0.00000000100124        49           735       +0.000048871792       1.245e+13
            50        -154.41940581557316      -0.00000000167179        50           750       +0.000037369088       1.271e+13
