#Efci:-230.7911477999
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
             1        -229.98744431389775      +0.73437482866132         1           117       +0.998126745007       3.040e+03
             2        -229.80060938837354      +0.18683492552421         2           234       +1.249177058702       6.081e+03
             3        -229.85826419654481      -0.05765480817126         3           351       +1.071324750643       9.121e+03
             4        -229.86262965299719      -0.00436545645238         4           468       +1.204667933703       1.216e+04
             5        -229.85573766561978      +0.00689198737740         5           585       +1.190370764809       1.520e+04
             6        -229.84767227990196      +0.00806538571783         6           702       +1.064202162612       1.824e+04
             7        -229.91250573599743      -0.06483345609547         7           819       +1.141388318343       2.128e+04
             8        -229.94840637722737      -0.03590064122994         8           936       +1.203954032745       2.432e+04
             9        -229.81855749600265      +0.12984888122472         9          1053       +1.190701210578       2.736e+04
            10        -229.81931565383422      -0.00075815783157        10          1170       +1.105430533013       3.040e+04
            11        -229.79870771973350      +0.02060793410072        11          1287       +1.074377836771       3.344e+04
            12        -229.80114343072376      -0.00243571099026        12          1404       +1.065670930010       3.648e+04
            13        -229.80134868062083      -0.00020524989708        13          1521       +1.137706131184       3.952e+04
            14        -229.77019800636842      +0.03115067425242        14          1638       +0.981952675738       4.256e+04
            15        -229.83618804893339      -0.06599004256498        15          1755       +1.009033529185       4.560e+04
            16        -229.84301298397293      -0.00682493503953        16          1872       +1.154983142251       4.865e+04
            17        -229.76311345102522      +0.07989953294771        17          1989       +1.010749331631       5.169e+04
            18        -229.70568207047995      +0.05743138054527        18          2106       +1.131837447583       5.473e+04
            19        -229.76951770872208      -0.06383563824213        19          2223       +1.212205027536       5.777e+04
            20        -229.73095876847324      +0.03855894024883        20          2340       +1.193339213137       6.081e+04
            21        -229.80600073567629      -0.07504196720305        21          2457       +1.120578591385       6.385e+04
            22        -229.70856098383200      +0.09743975184429        22          2574       +1.172054542570       6.689e+04
            23        -229.84015335532936      -0.13159237149736        23          2691       +1.123219679258       6.993e+04
            24        -229.75685409783350      +0.08329925749587        24          2808       +1.115049415012       7.297e+04
            25        -229.76015054492814      -0.00329644709464        25          2925       +1.153724974777       7.601e+04
            26        -229.80289431734485      -0.04274377241671        26          3042       +1.129638594726       7.905e+04
            27        -229.89469534948603      -0.09180103214118        27          3159       +1.127387019848       8.209e+04
            28        -229.81917222501895      +0.07552312446708        28          3276       +1.052845789586       8.513e+04
            29        -229.75294743767404      +0.06622478734491        29          3393       +1.056427942816       8.817e+04
            30        -229.68452639243375      +0.06842104524029        30          3510       +1.187056204853       9.121e+04
            31        -229.69401414080485      -0.00948774837110        31          3627       +1.082323212556       9.425e+04
            32        -229.77276412364358      -0.07874998283873        32          3744       +1.102542376288       9.729e+04
            33        -229.73910918845587      +0.03365493518771        33          3861       +1.114877145277       1.003e+05
            34        -229.73019624960344      +0.00891293885243        34          3978       +1.115248064448       1.034e+05
            35        -229.76540837897338      -0.03521212936994        35          4095       +0.973613352117       1.064e+05
            36        -229.83317693111704      -0.06776855214366        36          4212       +0.934147122447       1.095e+05
            37        -229.79353512373251      +0.03964180738453        37          4329       +1.130137915489       1.125e+05
            38        -229.57207137542778      +0.22146374830473        38          4446       +1.159285392408       1.155e+05
            39        -229.64445100692780      -0.07237963150001        39          4563       +1.144719334773       1.186e+05
            40        -229.87433303274022      -0.22988202581243        40          4680       +1.144277602919       1.216e+05
            41        -229.73451894894001      +0.13981408380022        41          4797       +1.119782036112       1.247e+05
            42        -229.77727234330681      -0.04275339436680        42          4914       +1.001298251588       1.277e+05
            43        -229.67029979153799      +0.10697255176882        43          5031       +1.119382624332       1.307e+05
            44        -229.78099750220187      -0.11069771066389        44          5148       +1.139441894802       1.338e+05
            45        -229.94161865702176      -0.16062115481989        45          5265       +1.143958420876       1.368e+05
            46        -229.80290375986331      +0.13871489715845        46          5382       +1.120150669904       1.399e+05
            47        -229.64419515606124      +0.15870860380207        47          5499       +1.212088981410       1.429e+05
            48        -229.71659286071898      -0.07239770465773        48          5616       +1.215780575501       1.459e+05
            49        -229.68168527161265      +0.03490758910633        49          5733       +1.129548732014       1.490e+05
            50        -229.91115408096948      -0.22946880935683        50          5850       +0.984105744864       1.520e+05
