#Efci:-38.8089954648
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
             1        -38.79536154549528      -0.05735110734059         1           204       +0.303848894786       1.504e+14
             2        -38.80452644411881      -0.00916489862352         2           408       +0.108415065973       3.007e+14
             3        -38.80761624922832      -0.00308980510951         3           612       +0.029002892518       4.511e+14
             4        -38.80836716545451      -0.00075091622619         4           816       +0.012223586954       6.015e+14
             5        -38.80857499979562      -0.00020783434112         5          1020       +0.006107994088       7.519e+14
             6        -38.80861051419434      -0.00003551439872         6          1224       +0.003428879687       9.022e+14
             7        -38.80861789447112      -0.00000738027678         7          1428       +0.002735804646       1.053e+15
             8        -38.80861930989587      -0.00000141542475         8          1632       +0.002060371288       1.203e+15
             9        -38.80861970534163      -0.00000039544576         9          1836       +0.001853250558       1.353e+15
            10        -38.80861990681073      -0.00000020146911        10          2040       +0.001606633617       1.504e+15
            11        -38.80861998308875      -0.00000007627802        11          2244       +0.001585598270       1.654e+15
            12        -38.80862004765299      -0.00000006456423        12          2448       +0.001664428207       1.804e+15
            13        -38.80862008150375      -0.00000003385077        13          2652       +0.001524540691       1.955e+15
            14        -38.80862008820050      -0.00000000669674        14          2856       +0.001677413311       2.105e+15
            15        -38.80861985005044      +0.00000023815006        15          3060       +0.001590000090       2.256e+15
            16        -38.80862009346680      -0.00000024341636        16          3264       +0.001520033346       2.406e+15
            17        -38.80862011601727      -0.00000002255047        17          3468       +0.001497519680       2.556e+15
            18        -38.80862009911918      +0.00000001689808        18          3672       +0.001449090844       2.707e+15
            19        -38.80861998196470      +0.00000011715448        19          3876       +0.001533587368       2.857e+15
            20        -38.80862013282067      -0.00000015085597        20          4080       +0.001583082904       3.007e+15
            21        -38.80861997171623      +0.00000016110444        21          4284       +0.001390643538       3.158e+15
            22        -38.80862004886847      -0.00000007715224        22          4488       +0.001564293333       3.308e+15
            23        -38.80862005916171      -0.00000001029324        23          4692       +0.001529188566       3.459e+15
            24        -38.80862014775746      -0.00000008859575        24          4896       +0.001552812311       3.609e+15
            25        -38.80862013098836      +0.00000001676910        25          5100       +0.001447020007       3.759e+15
            26        -38.80862005837385      +0.00000007261451        26          5304       +0.001561196380       3.910e+15
            27        -38.80862011972066      -0.00000006134681        27          5508       +0.001529129741       4.060e+15
            28        -38.80862009900900      +0.00000002071165        28          5712       +0.001424131804       4.210e+15
            29        -38.80862021861252      -0.00000011960351        29          5916       +0.001449305061       4.361e+15
            30        -38.80862016209720      +0.00000005651532        30          6120       +0.001511755098       4.511e+15
            31        -38.80862018793738      -0.00000002584018        31          6324       +0.001437452753       4.662e+15
            32        -38.80862008529395      +0.00000010264343        32          6528       +0.001583407773       4.812e+15
            33        -38.80862017501619      -0.00000008972224        33          6732       +0.001513925313       4.962e+15
            34        -38.80862011116515      +0.00000006385105        34          6936       +0.001447934780       5.113e+15
            35        -38.80862019026318      -0.00000007909803        35          7140       +0.001465283372       5.263e+15
            36        -38.80862013660897      +0.00000005365421        36          7344       +0.001500186168       5.413e+15
            37        -38.80862010983371      +0.00000002677525        37          7548       +0.001518588765       5.564e+15
            38        -38.80862020001190      -0.00000009017819        38          7752       +0.001434447895       5.714e+15
            39        -38.80862007078903      +0.00000012922288        39          7956       +0.001551733009       5.865e+15
            40        -38.80862004330996      +0.00000002747907        40          8160       +0.001590324988       6.015e+15
            41        -38.80862013052722      -0.00000008721726        41          8364       +0.001529132542       6.165e+15
            42        -38.80862008877844      +0.00000004174878        42          8568       +0.001494547449       6.316e+15
            43        -38.80862014301688      -0.00000005423844        43          8772       +0.001482015126       6.466e+15
            44        -38.80862004388487      +0.00000009913201        44          8976       +0.001534129421       6.616e+15
            45        -38.80862018778075      -0.00000014389588        45          9180       +0.001361469301       6.767e+15
            46        -38.80862012109114      +0.00000006668962        46          9384       +0.001477656160       6.917e+15
            47        -38.80862004158357      +0.00000007950757        47          9588       +0.001622928960       7.068e+15
            48        -38.80862014385271      -0.00000010226914        48          9792       +0.001492245628       7.218e+15
            49        -38.80862023361007      -0.00000008975736        49          9996       +0.001450218001       7.368e+15
            50        -38.80862021866787      +0.00000001494220        50         10200       +0.001468258625       7.519e+15
