#Efci:-153.4297174231
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
             1        -153.37533832058605      -0.02085283796075         1            26       +0.122621977621       1.276e+08
             2        -153.38143294361728      -0.00609462303123         2            52       +0.053576323782       2.552e+08
             3        -153.38362212480507      -0.00218918118779         3            78       +0.046871554682       3.828e+08
             4        -153.38611541087693      -0.00249328607185         4           104       +0.023893168406       5.104e+08
             5        -153.38683427521667      -0.00071886433975         5           130       +0.004981054869       6.380e+08
             6        -153.38684030489938      -0.00000602968271         6           156       +0.002910218177       7.655e+08
             7        -153.38684333741867      -0.00000303251929         7           182       +0.002373760380       8.931e+08
             8        -153.38684532346358      -0.00000198604491         8           208       +0.001897938988       1.021e+09
             9        -153.38684782338441      -0.00000249992084         9           234       +0.001027021092       1.148e+09
            10        -153.38684993512928      -0.00000211174486        10           260       +0.000962056475       1.276e+09
            11        -153.38684884827012      +0.00000108685916        11           286       +0.000917274760       1.403e+09
            12        -153.38685065410544      -0.00000180583532        12           312       +0.001048679368       1.531e+09
            13        -153.38684911235677      +0.00000154174867        13           338       +0.001103124179       1.659e+09
            14        -153.38685008430207      -0.00000097194530        14           364       +0.000951627449       1.786e+09
            15        -153.38684957723956      +0.00000050706251        15           390       +0.000947776562       1.914e+09
            16        -153.38684886690402      +0.00000071033554        16           416       +0.000962762458       2.041e+09
            17        -153.38684979965160      -0.00000093274758        17           442       +0.000982056521       2.169e+09
            18        -153.38685001156301      -0.00000021191141        18           468       +0.000936669121       2.297e+09
            19        -153.38684798951581      +0.00000202204720        19           494       +0.001130472315       2.424e+09
            20        -153.38684808906584      -0.00000009955002        20           520       +0.001247073224       2.552e+09
            21        -153.38684802371412      +0.00000006535171        21           546       +0.001399801907       2.679e+09
            22        -153.38684758601599      +0.00000043769813        22           572       +0.001589296743       2.807e+09
            23        -153.38684775749763      -0.00000017148164        23           598       +0.001235305488       2.935e+09
            24        -153.38684793485771      -0.00000017736008        24           624       +0.001303400630       3.062e+09
            25        -153.38684564226674      +0.00000229259098        25           650       +0.001505818264       3.190e+09
            26        -153.38684687406774      -0.00000123180101        26           676       +0.001254346827       3.317e+09
            27        -153.38684814156019      -0.00000126749245        27           702       +0.001459161643       3.445e+09
            28        -153.38685167320386      -0.00000353164367        28           728       +0.001126653248       3.573e+09
            29        -153.38684941468907      +0.00000225851480        29           754       +0.001169100299       3.700e+09
            30        -153.38685011757542      -0.00000070288635        30           780       +0.000929836433       3.828e+09
            31        -153.38685115664700      -0.00000103907158        31           806       +0.001088793315       3.955e+09
            32        -153.38685239372549      -0.00000123707849        32           832       +0.001283858157       4.083e+09
            33        -153.38685108826698      +0.00000130545851        33           858       +0.001066603939       4.210e+09
            34        -153.38685147430769      -0.00000038604071        34           884       +0.001211191541       4.338e+09
            35        -153.38685199266300      -0.00000051835531        35           910       +0.000988315609       4.466e+09
            36        -153.38685149195510      +0.00000050070790        36           936       +0.001401089038       4.593e+09
            37        -153.38684601441668      +0.00000547753842        37           962       +0.001153308244       4.721e+09
            38        -153.38684776739208      -0.00000175297541        38           988       +0.001102991640       4.848e+09
            39        -153.38684689176486      +0.00000087562722        39          1014       +0.001329040922       4.976e+09
            40        -153.38684688149087      +0.00000001027399        40          1040       +0.001242268278       5.104e+09
            41        -153.38684663374940      +0.00000024774147        41          1066       +0.001141199422       5.231e+09
            42        -153.38684471339775      +0.00000192035165        42          1092       +0.001476962137       5.359e+09
            43        -153.38684573504261      -0.00000102164486        43          1118       +0.001246613520       5.486e+09
            44        -153.38684549998337      +0.00000023505925        44          1144       +0.001251693414       5.614e+09
            45        -153.38684788867374      -0.00000238869038        45          1170       +0.001163017615       5.742e+09
            46        -153.38684705848542      +0.00000083018833        46          1196       +0.001252175827       5.869e+09
            47        -153.38684564656577      +0.00000141191964        47          1222       +0.001001571375       5.997e+09
            48        -153.38684584421276      -0.00000019764698        48          1248       +0.001211453882       6.124e+09
            49        -153.38684141732205      +0.00000442689071        49          1274       +0.001450570797       6.252e+09
            50        -153.38684198658686      -0.00000056926481        50          1300       +0.001380652513       6.380e+09
