#Efci:-15.6506872611
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
             1        -15.64817385734373      -0.02343673259691         1            38       +0.220583676688       6.911e+09
             2        -15.65007954174553      -0.00190568440180         2            76       +0.059207793725       1.382e+10
             3        -15.65038632399494      -0.00030678224941         3           114       +0.013297225368       2.073e+10
             4        -15.65041699767756      -0.00003067368261         4           152       +0.010398724012       2.764e+10
             5        -15.65042456856852      -0.00000757089096         5           190       +0.009985776707       3.455e+10
             6        -15.65042448951358      +0.00000007905494         6           228       +0.007541619790       4.146e+10
             7        -15.65042355889638      +0.00000093061720         7           266       +0.005517726473       4.838e+10
             8        -15.65042650193669      -0.00000294304030         8           304       +0.007492418637       5.529e+10
             9        -15.65042946557482      -0.00000296363813         9           342       +0.006288487454       6.220e+10
            10        -15.65042590307989      +0.00000356249493        10           380       +0.007055154340       6.911e+10
            11        -15.65042724659128      -0.00000134351139        11           418       +0.005417089322       7.602e+10
            12        -15.65042592380667      +0.00000132278461        12           456       +0.005677370715       8.293e+10
            13        -15.65042486858436      +0.00000105522231        13           494       +0.005776286062       8.984e+10
            14        -15.65042615527561      -0.00000128669125        14           532       +0.006692803951       9.675e+10
            15        -15.65042631944758      -0.00000016417197        15           570       +0.006358554370       1.037e+11
            16        -15.65042699483258      -0.00000067538500        16           608       +0.006240023293       1.106e+11
            17        -15.65042153604553      +0.00000545878705        17           646       +0.006226191200       1.175e+11
            18        -15.65042542833211      -0.00000389228657        18           684       +0.007005440327       1.244e+11
            19        -15.65042851163770      -0.00000308330559        19           722       +0.005615607180       1.313e+11
            20        -15.65042452370647      +0.00000398793122        20           760       +0.006816933771       1.382e+11
            21        -15.65042439431478      +0.00000012939169        21           798       +0.006790455754       1.451e+11
            22        -15.65042597111485      -0.00000157680007        22           836       +0.006256414659       1.520e+11
            23        -15.65042505860121      +0.00000091251365        23           874       +0.005776536079       1.589e+11
            24        -15.65042157968240      +0.00000347891880        24           912       +0.007073824343       1.659e+11
            25        -15.65042892484291      -0.00000734516051        25           950       +0.006259795383       1.728e+11
            26        -15.65042650482080      +0.00000242002212        26           988       +0.006472803785       1.797e+11
            27        -15.65042329482307      +0.00000320999772        27          1026       +0.006488379218       1.866e+11
            28        -15.65042721387424      -0.00000391905116        28          1064       +0.007332062351       1.935e+11
            29        -15.65042515624537      +0.00000205762887        29          1102       +0.006972433313       2.004e+11
            30        -15.65042152031866      +0.00000363592671        30          1140       +0.007791181652       2.073e+11
            31        -15.65042483987718      -0.00000331955852        31          1178       +0.005926009961       2.142e+11
            32        -15.65042603050324      -0.00000119062606        32          1216       +0.006866750394       2.211e+11
            33        -15.65042416310884      +0.00000186739440        33          1254       +0.006107886115       2.281e+11
            34        -15.65042593721899      -0.00000177411015        34          1292       +0.005766599013       2.350e+11
            35        -15.65042733134733      -0.00000139412834        35          1330       +0.006002431026       2.419e+11
            36        -15.65043028857963      -0.00000295723230        36          1368       +0.005285733058       2.488e+11
            37        -15.65042733774192      +0.00000295083771        37          1406       +0.006881744871       2.557e+11
            38        -15.65042606402219      +0.00000127371974        38          1444       +0.006627980272       2.626e+11
            39        -15.65042527236902      +0.00000079165317        39          1482       +0.006463405104       2.695e+11
            40        -15.65042633155802      -0.00000105918900        40          1520       +0.007154045574       2.764e+11
            41        -15.65042554167469      +0.00000078988333        41          1558       +0.007019861340       2.833e+11
            42        -15.65042807475788      -0.00000253308319        42          1596       +0.005669761418       2.903e+11
            43        -15.65042606826089      +0.00000200649698        43          1634       +0.007080381201       2.972e+11
            44        -15.65042368574013      +0.00000238252076        44          1672       +0.007739153194       3.041e+11
            45        -15.65042430202717      -0.00000061628704        45          1710       +0.006965311306       3.110e+11
            46        -15.65042826448148      -0.00000396245431        46          1748       +0.005240863560       3.179e+11
            47        -15.65042179251300      +0.00000647196848        47          1786       +0.008113426168       3.248e+11
            48        -15.65042731906955      -0.00000552655655        48          1824       +0.006579831677       3.317e+11
            49        -15.65042612191410      +0.00000119715545        49          1862       +0.006982420722       3.386e+11
            50        -15.65043004347506      -0.00000392156096        50          1900       +0.005682513118       3.455e+11
