#Efci:-75.5993068080
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
             1        -75.59362673185538      -0.03542424411458         1            32       +0.283815739635       3.674e+10
             2        -75.59779787867497      -0.00417114681959         2            64       +0.114995497432       7.347e+10
             3        -75.59849424597009      -0.00069636729512         3            96       +0.089397258281       1.102e+11
             4        -75.59862548127025      -0.00013123530016         4           128       +0.061632735274       1.469e+11
             5        -75.59835551392790      +0.00026996734235         5           160       +0.063415202211       1.837e+11
             6        -75.59831510348609      +0.00004041044181         6           192       +0.067347453465       2.204e+11
             7        -75.59818047496481      +0.00013462852128         7           224       +0.065832976659       2.572e+11
             8        -75.59864113900117      -0.00046066403637         8           256       +0.062515991041       2.939e+11
             9        -75.59829948274209      +0.00034165625908         9           288       +0.065799286057       3.306e+11
            10        -75.59836489095622      -0.00006540821413        10           320       +0.060250897615       3.674e+11
            11        -75.59797329917141      +0.00039159178480        11           352       +0.064959455181       4.041e+11
            12        -75.59839572443916      -0.00042242526774        12           384       +0.058214817277       4.408e+11
            13        -75.59839810192871      -0.00000237748955        13           416       +0.052385984137       4.776e+11
            14        -75.59864053279266      -0.00024243086395        14           448       +0.055072108662       5.143e+11
            15        -75.59830987288527      +0.00033065990739        15           480       +0.071794180285       5.511e+11
            16        -75.59838610612907      -0.00007623324380        16           512       +0.057030636389       5.878e+11
            17        -75.59846033373042      -0.00007422760135        17           544       +0.068854036694       6.245e+11
            18        -75.59833795299410      +0.00012238073631        18           576       +0.061254715736       6.613e+11
            19        -75.59821912481412      +0.00011882817998        19           608       +0.063873172383       6.980e+11
            20        -75.59871960995997      -0.00050048514585        20           640       +0.051294611289       7.347e+11
            21        -75.59848547047518      +0.00023413948479        21           672       +0.054373794834       7.715e+11
            22        -75.59863601118151      -0.00015054070633        22           704       +0.054587363277       8.082e+11
            23        -75.59820575395341      +0.00043025722810        23           736       +0.066959853096       8.449e+11
            24        -75.59868309239127      -0.00047733843786        24           768       +0.053991718515       8.817e+11
            25        -75.59846252796868      +0.00022056442259        25           800       +0.069198131057       9.184e+11
            26        -75.59854117898546      -0.00007865101678        26           832       +0.052549422340       9.552e+11
            27        -75.59850986311869      +0.00003131586676        27           864       +0.058590688559       9.919e+11
            28        -75.59835763505252      +0.00015222806617        28           896       +0.053500272498       1.029e+12
            29        -75.59824382487203      +0.00011381018049        29           928       +0.066288179316       1.065e+12
            30        -75.59825677828182      -0.00001295340979        30           960       +0.067384796561       1.102e+12
            31        -75.59846265987896      -0.00020588159714        31           992       +0.066360007645       1.139e+12
            32        -75.59855909049773      -0.00009643061877        32          1024       +0.061160216681       1.176e+12
            33        -75.59858184936839      -0.00002275887066        33          1056       +0.052993145937       1.212e+12
            34        -75.59779860112026      +0.00078324824813        34          1088       +0.072622451487       1.249e+12
            35        -75.59827771487325      -0.00047911375299        35          1120       +0.052746394264       1.286e+12
            36        -75.59848302107393      -0.00020530620068        36          1152       +0.058699222412       1.323e+12
            37        -75.59845583508762      +0.00002718598631        37          1184       +0.055397058870       1.359e+12
            38        -75.59840170788266      +0.00005412720496        38          1216       +0.061380254784       1.396e+12
            39        -75.59818872994433      +0.00021297793833        39          1248       +0.064058055406       1.433e+12
            40        -75.59847278973989      -0.00028405979556        40          1280       +0.063265768080       1.469e+12
            41        -75.59805041670053      +0.00042237303936        41          1312       +0.067609347186       1.506e+12
            42        -75.59859037917664      -0.00053996247611        42          1344       +0.052373385579       1.543e+12
            43        -75.59856860777971      +0.00002177139693        43          1376       +0.061832021575       1.580e+12
            44        -75.59850596733239      +0.00006264044733        44          1408       +0.047498977670       1.616e+12
            45        -75.59866498811185      -0.00015902077946        45          1440       +0.062821563496       1.653e+12
            46        -75.59862366182740      +0.00004132628445        46          1472       +0.065767317712       1.690e+12
            47        -75.59865183638419      -0.00002817455679        47          1504       +0.060213206779       1.727e+12
            48        -75.59861980377069      +0.00003203261350        48          1536       +0.057241238127       1.763e+12
            49        -75.59864051492450      -0.00002071115381        49          1568       +0.044622367412       1.800e+12
            50        -75.59848367638828      +0.00015683853621        50          1600       +0.047554472863       1.837e+12
