#Efci:-4.3360656518
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
             1        -4.31312415707724      -0.11174072301243         1           184       +0.405938585427       6.030e+10
             2        -4.32946121932159      -0.01633706224435         2           368       +0.146271275757       1.206e+11
             3        -4.33369053145849      -0.00422931213690         3           552       +0.040456107990       1.809e+11
             4        -4.33434366817801      -0.00065313671952         4           736       +0.016300411383       2.412e+11
             5        -4.33447457545228      -0.00013090727427         5           920       +0.008304726185       3.015e+11
             6        -4.33452355074477      -0.00004897529249         6          1104       +0.004205935997       3.618e+11
             7        -4.33453500102914      -0.00001145028437         7          1288       +0.002043875974       4.221e+11
             8        -4.33453619947572      -0.00000119844658         8          1472       +0.002017935819       4.824e+11
             9        -4.33453626890073      -0.00000006942501         9          1656       +0.001702367386       5.427e+11
            10        -4.33453638010436      -0.00000011120363        10          1840       +0.001448118690       6.030e+11
            11        -4.33453641041811      -0.00000003031375        11          2024       +0.001608873330       6.633e+11
            12        -4.33453638151492      +0.00000002890319        12          2208       +0.001550106594       7.236e+11
            13        -4.33453627867707      +0.00000010283785        13          2392       +0.001599066468       7.839e+11
            14        -4.33453647191941      -0.00000019324234        14          2576       +0.001503409870       8.442e+11
            15        -4.33453633249456      +0.00000013942485        15          2760       +0.001699901078       9.045e+11
            16        -4.33453643932295      -0.00000010682839        16          2944       +0.001486725380       9.648e+11
            17        -4.33453626052145      +0.00000017880150        17          3128       +0.001623770795       1.025e+12
            18        -4.33453645639181      -0.00000019587036        18          3312       +0.001426404603       1.085e+12
            19        -4.33453642509125      +0.00000003130056        19          3496       +0.001501618753       1.146e+12
            20        -4.33453646434052      -0.00000003924927        20          3680       +0.001430874616       1.206e+12
            21        -4.33453649679759      -0.00000003245706        21          3864       +0.001441336597       1.266e+12
            22        -4.33453637390341      +0.00000012289417        22          4048       +0.001460085075       1.327e+12
            23        -4.33453642131758      -0.00000004741416        23          4232       +0.001528998443       1.387e+12
            24        -4.33453652976441      -0.00000010844683        24          4416       +0.001427423209       1.447e+12
            25        -4.33453646539158      +0.00000006437283        25          4600       +0.001446623205       1.507e+12
            26        -4.33453660139334      -0.00000013600176        26          4784       +0.001199444294       1.568e+12
            27        -4.33453644449353      +0.00000015689981        27          4968       +0.001477185955       1.628e+12
            28        -4.33453650205500      -0.00000005756147        28          5152       +0.001363626744       1.688e+12
            29        -4.33453644626733      +0.00000005578767        29          5336       +0.001480987187       1.749e+12
            30        -4.33453647902554      -0.00000003275821        30          5520       +0.001504316994       1.809e+12
            31        -4.33453646107115      +0.00000001795439        31          5704       +0.001368060699       1.869e+12
            32        -4.33453656664826      -0.00000010557711        32          5888       +0.001393512207       1.930e+12
            33        -4.33453653420073      +0.00000003244753        33          6072       +0.001362046445       1.990e+12
            34        -4.33453646925716      +0.00000006494358        34          6256       +0.001410341574       2.050e+12
            35        -4.33453652854171      -0.00000005928455        35          6440       +0.001359824261       2.110e+12
            36        -4.33453655808738      -0.00000002954567        36          6624       +0.001317712306       2.171e+12
            37        -4.33453636921465      +0.00000018887273        37          6808       +0.001421768119       2.231e+12
            38        -4.33453650356051      -0.00000013434586        38          6992       +0.001400476648       2.291e+12
            39        -4.33453667737168      -0.00000017381117        39          7176       +0.001207426287       2.352e+12
            40        -4.33453644173643      +0.00000023563525        40          7360       +0.001420682384       2.412e+12
            41        -4.33453642965894      +0.00000001207749        41          7544       +0.001519454720       2.472e+12
            42        -4.33453660092207      -0.00000017126313        42          7728       +0.001336380714       2.533e+12
            43        -4.33453649409738      +0.00000010682469        43          7912       +0.001448275810       2.593e+12
            44        -4.33453637602976      +0.00000011806762        44          8096       +0.001421352058       2.653e+12
            45        -4.33453642242162      -0.00000004639186        45          8280       +0.001443846895       2.713e+12
            46        -4.33453624448161      +0.00000017794001        46          8464       +0.001589585314       2.774e+12
            47        -4.33453637194312      -0.00000012746151        47          8648       +0.001432896443       2.834e+12
            48        -4.33453642700131      -0.00000005505819        48          8832       +0.001393695850       2.894e+12
            49        -4.33453650725359      -0.00000008025228        49          9016       +0.001384170633       2.955e+12
            50        -4.33453637171612      +0.00000013553747        50          9200       +0.001501414311       3.015e+12
