#Efci:-7.9723355824
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
             1        -7.96514972742733      -0.01317818846867         1            92       +0.172786244468       1.022e+07
             2        -7.96726718564444      -0.00211745821711         2           184       +0.122982476842       2.044e+07
             3        -7.96810107467630      -0.00083388903186         3           276       +0.121193196412       3.066e+07
             4        -7.96768210891348      +0.00041896576282         4           368       +0.123283133956       4.088e+07
             5        -7.96865671516204      -0.00097460624857         5           460       +0.087478266856       5.111e+07
             6        -7.96736829776145      +0.00128841740060         6           552       +0.117821923273       6.133e+07
             7        -7.96690570969943      +0.00046258806202         7           644       +0.121362533082       7.155e+07
             8        -7.96917041639822      -0.00226470669879         8           736       +0.106202418724       8.177e+07
             9        -7.96770869779280      +0.00146171860542         9           828       +0.102855442136       9.199e+07
            10        -7.96777862540975      -0.00006992761696        10           920       +0.108674350693       1.022e+08
            11        -7.96873023183505      -0.00095160642530        11          1012       +0.096556162469       1.124e+08
            12        -7.96856375243525      +0.00016647939980        12          1104       +0.093768941806       1.227e+08
            13        -7.96912245560781      -0.00055870317256        13          1196       +0.092666010101       1.329e+08
            14        -7.96778092358994      +0.00134153201787        14          1288       +0.101361237456       1.431e+08
            15        -7.96836142830175      -0.00058050471181        15          1380       +0.096456801014       1.533e+08
            16        -7.96873984060607      -0.00037841230433        16          1472       +0.097562427240       1.635e+08
            17        -7.96874177505488      -0.00000193444881        17          1564       +0.108570447293       1.738e+08
            18        -7.96856366811623      +0.00017810693865        18          1656       +0.107295929030       1.840e+08
            19        -7.96941927089633      -0.00085560278011        19          1748       +0.091497023770       1.942e+08
            20        -7.96860029143343      +0.00081897946290        20          1840       +0.100328238082       2.044e+08
            21        -7.96895134480365      -0.00035105337022        21          1932       +0.100746957413       2.146e+08
            22        -7.96965671472700      -0.00070536992336        22          2024       +0.087811259683       2.249e+08
            23        -7.96799653593668      +0.00166017879033        23          2116       +0.111080898397       2.351e+08
            24        -7.96736614751422      +0.00063038842246        24          2208       +0.118847086346       2.453e+08
            25        -7.96827837719180      -0.00091222967758        25          2300       +0.113749204846       2.555e+08
            26        -7.96924327261200      -0.00096489542021        26          2392       +0.098358720174       2.657e+08
            27        -7.96893001150089      +0.00031326111111        27          2484       +0.094885027119       2.760e+08
            28        -7.96824000758040      +0.00069000392049        28          2576       +0.106005206677       2.862e+08
            29        -7.96811971596973      +0.00012029161067        29          2668       +0.096562123910       2.964e+08
            30        -7.96852014656961      -0.00040043059988        30          2760       +0.108650069323       3.066e+08
            31        -7.96854146373332      -0.00002131716372        31          2852       +0.098386815154       3.169e+08
            32        -7.96910851210586      -0.00056704837254        32          2944       +0.094943526409       3.271e+08
            33        -7.96874333445911      +0.00036517764675        33          3036       +0.106113845480       3.373e+08
            34        -7.96819321101760      +0.00055012344151        34          3128       +0.098590743341       3.475e+08
            35        -7.96924592752259      -0.00105271650499        35          3220       +0.092542631036       3.577e+08
            36        -7.96779477073848      +0.00145115678411        36          3312       +0.101417310062       3.680e+08
            37        -7.96824412307049      -0.00044935233201        37          3404       +0.105560720564       3.782e+08
            38        -7.96793536536274      +0.00030875770776        38          3496       +0.104343158108       3.884e+08
            39        -7.96857981344460      -0.00064444808186        39          3588       +0.102159443844       3.986e+08
            40        -7.96917183778507      -0.00059202434047        40          3680       +0.087625719553       4.088e+08
            41        -7.96902735311089      +0.00014448467418        41          3772       +0.102934082671       4.191e+08
            42        -7.96838447877232      +0.00064287433858        42          3864       +0.093794216439       4.293e+08
            43        -7.96768129275679      +0.00070318601553        43          3956       +0.099338467198       4.395e+08
            44        -7.96893314665809      -0.00125185390130        44          4048       +0.097427616427       4.497e+08
            45        -7.96952693565762      -0.00059378899953        45          4140       +0.079206622661       4.600e+08
            46        -7.96868922901778      +0.00083770663984        46          4232       +0.102724325633       4.702e+08
            47        -7.96937159910779      -0.00068237009001        47          4324       +0.103437923783       4.804e+08
            48        -7.96888852544603      +0.00048307366175        48          4416       +0.110910247629       4.906e+08
            49        -7.96966352598514      -0.00077500053911        49          4508       +0.090372801239       5.008e+08
            50        -7.96853179114606      +0.00113173483908        50          4600       +0.091967256993       5.111e+08
