#Efci:-108.5143012407
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
             1        -107.97532932456357      -0.04663938822358         1            91       +1.352207314638       1.387e+09
             2        -108.09461384332350      -0.11928451875993         2           182       +1.118841531324       2.774e+09
             3        -108.10932266229375      -0.01470881897025         3           273       +1.099255429078       4.162e+09
             4        -108.16377224219382      -0.05444957990007         4           364       +1.078230903458       5.549e+09
             5        -108.18553561406468      -0.02176337187086         5           455       +1.092931118170       6.936e+09
             6        -108.25564986824828      -0.07011425418361         6           546       +1.059935644527       8.323e+09
             7        -108.17330627014373      +0.08234359810456         7           637       +1.103829029260       9.710e+09
             8        -108.16463954734702      +0.00866672279670         8           728       +1.199706491217       1.110e+10
             9        -108.09700798338166      +0.06763156396536         9           819       +1.068566518594       1.248e+10
            10        -108.14160390452655      -0.04459592114489        10           910       +1.049926254072       1.387e+10
            11        -108.31407649891034      -0.17247259438379        11          1001       +0.931543570220       1.526e+10
            12        -108.29335117953693      +0.02072531937341        12          1092       +0.972313847101       1.665e+10
            13        -108.23523484805119      +0.05811633148573        13          1183       +0.978486121082       1.803e+10
            14        -108.24589823156803      -0.01066338351684        14          1274       +0.963864096585       1.942e+10
            15        -108.31826617663924      -0.07236794507121        15          1365       +1.018461717949       2.081e+10
            16        -108.25071949421830      +0.06754668242094        16          1456       +1.018625080553       2.220e+10
            17        -108.29464669158219      -0.04392719736389        17          1547       +1.078875236875       2.358e+10
            18        -108.27047661396563      +0.02417007761656        18          1638       +1.046939029578       2.497e+10
            19        -108.25391031568449      +0.01656629828113        19          1729       +0.909510465391       2.636e+10
            20        -108.29091792595608      -0.03700761027159        20          1820       +0.979821037933       2.774e+10
            21        -108.28465910353155      +0.00625882242453        21          1911       +0.898555840313       2.913e+10
            22        -108.26790516180645      +0.01675394172510        22          2002       +1.051809546031       3.052e+10
            23        -108.26901288634294      -0.00110772453648        23          2093       +1.083707220103       3.191e+10
            24        -108.31225170458748      -0.04323881824455        24          2184       +0.903077196497       3.329e+10
            25        -108.22252860714630      +0.08972309744118        25          2275       +0.949059441986       3.468e+10
            26        -108.26091142772454      -0.03838282057824        26          2366       +1.083055084427       3.607e+10
            27        -108.28225555662981      -0.02134412890527        27          2457       +1.039816235430       3.745e+10
            28        -108.30374973877403      -0.02149418214422        28          2548       +1.110642918445       3.884e+10
            29        -108.24944592346023      +0.05430381531380        29          2639       +1.070735979260       4.023e+10
            30        -108.24359736297336      +0.00584856048687        30          2730       +1.058021262790       4.162e+10
            31        -108.25919652672988      -0.01559916375652        31          2821       +0.947644052975       4.300e+10
            32        -108.25954808586940      -0.00035155913952        32          2912       +1.051123918380       4.439e+10
            33        -108.26235119749130      -0.00280311162190        33          3003       +1.018582157721       4.578e+10
            34        -108.21183493170300      +0.05051626578830        34          3094       +1.145830243689       4.716e+10
            35        -108.32965826269923      -0.11782333099623        35          3185       +1.030530307356       4.855e+10
            36        -108.22968670280950      +0.09997155988972        36          3276       +1.083166319598       4.994e+10
            37        -108.23716957260898      -0.00748286979947        37          3367       +1.182634295358       5.133e+10
            38        -108.27795892020792      -0.04078934759895        38          3458       +1.019956482811       5.271e+10
            39        -108.34717725869969      -0.06921833849177        39          3549       +0.996910442812       5.410e+10
            40        -108.31286953487401      +0.03430772382568        40          3640       +0.998047154471       5.549e+10
            41        -108.23278383352311      +0.08008570135090        41          3731       +0.964092974288       5.687e+10
            42        -108.33840396643332      -0.10562013291020        42          3822       +0.940334782795       5.826e+10
            43        -108.34366288187711      -0.00525891544379        43          3913       +0.937191174242       5.965e+10
            44        -108.30832994747595      +0.03533293440115        44          4004       +0.977810718119       6.104e+10
            45        -108.28520804385677      +0.02312190361918        45          4095       +0.933222925640       6.242e+10
            46        -108.35556353011580      -0.07035548625903        46          4186       +0.867370351601       6.381e+10
            47        -108.32146194699141      +0.03410158312440        47          4277       +0.999514993664       6.520e+10
            48        -108.34868595775006      -0.02722401075866        48          4368       +0.939845800178       6.659e+10
            49        -108.30396887115734      +0.04471708659273        49          4459       +1.047664611956       6.797e+10
            50        -108.35249634191790      -0.04852747076056        50          4550       +0.923340585299       6.936e+10
