#Efci:-148.8881375281
#    k iteration         Energy               dE           Nrvec ev      Nrm ev*         ||r||           Nshots
#--------------------------------------------------------------------------------------------------------------------
             1        -148.86965299040773      -0.08559689134756         1            54       +0.469266494668       3.412e+15
             2        -148.87347397863576      -0.00382098822803         2           108       +0.080579303977       6.824e+15
             3        -148.87438883347156      -0.00091485483580         3           162       +0.026446850795       1.024e+16
             4        -148.87491188769539      -0.00052305422383         4           216       +0.013535665770       1.365e+16
             5        -148.87526343514719      -0.00035154745180         5           270       +0.012196914248       1.706e+16
             6        -148.87699205852701      -0.00172862337982         6           324       +0.012101395051       2.047e+16
             7        -148.87914193253073      -0.00214987400372         7           378       +0.008040035738       2.388e+16
             8        -148.87941887945206      -0.00027694692133         8           432       +0.003080305881       2.730e+16
             9        -148.87946349276757      -0.00004461331551         9           486       +0.002070035121       3.071e+16
            10        -148.87946453147865      -0.00000103871108        10           540       +0.001148751581       3.412e+16
            11        -148.87946458043186      -0.00000004895321        11           594       +0.001052650460       3.753e+16
            12        -148.87946472995284      -0.00000014952099        12           648       +0.000790766294       4.094e+16
            13        -148.87946477613005      -0.00000004617721        13           702       +0.000841524326       4.436e+16
            14        -148.87946480206230      -0.00000002593225        14           756       +0.000865227458       4.777e+16
            15        -148.87946480449745      -0.00000000243514        15           810       +0.000877584775       5.118e+16
            16        -148.87946484068462      -0.00000003618717        16           864       +0.000650049844       5.459e+16
            17        -148.87946478506319      +0.00000005562143        17           918       +0.000831641023       5.800e+16
            18        -148.87946481137561      -0.00000002631242        18           972       +0.000757753125       6.142e+16
            19        -148.87946479802798      +0.00000001334763        19          1026       +0.000720641633       6.483e+16
            20        -148.87946482708699      -0.00000002905901        20          1080       +0.000700459538       6.824e+16
            21        -148.87946481536937      +0.00000001171762        21          1134       +0.000727314841       7.165e+16
            22        -148.87946483341742      -0.00000001804804        22          1188       +0.000746718827       7.506e+16
            23        -148.87946481543679      +0.00000001798062        23          1242       +0.000710988750       7.848e+16
            24        -148.87946482826220      -0.00000001282541        24          1296       +0.000745725754       8.189e+16
            25        -148.87946481192654      +0.00000001633566        25          1350       +0.000900452834       8.530e+16
            26        -148.87946482779313      -0.00000001586659        26          1404       +0.000769181577       8.871e+16
            27        -148.87946481519933      +0.00000001259380        27          1458       +0.000842796584       9.213e+16
            28        -148.87946479917306      +0.00000001602626        28          1512       +0.000840353932       9.554e+16
            29        -148.87946483918947      -0.00000004001640        29          1566       +0.000692187070       9.895e+16
            30        -148.87946483304208      +0.00000000614739        30          1620       +0.000829231571       1.024e+17
            31        -148.87946482379149      +0.00000000925058        31          1674       +0.000847288043       1.058e+17
            32        -148.87946482030370      +0.00000000348780        32          1728       +0.000710289022       1.092e+17
            33        -148.87946485565863      -0.00000003535493        33          1782       +0.000722490614       1.126e+17
            34        -148.87946481582631      +0.00000003983232        34          1836       +0.000737963496       1.160e+17
            35        -148.87946483189455      -0.00000001606824        35          1890       +0.000703688287       1.194e+17
            36        -148.87946482201596      +0.00000000987859        36          1944       +0.000711528333       1.228e+17
            37        -148.87946482079983      +0.00000000121614        37          1998       +0.000714660660       1.262e+17
            38        -148.87946483581356      -0.00000001501374        38          2052       +0.000644978451       1.297e+17
            39        -148.87946485157374      -0.00000001576018        39          2106       +0.000729020268       1.331e+17
            40        -148.87946479046397      +0.00000006110977        40          2160       +0.000781182059       1.365e+17
            41        -148.87946483761937      -0.00000004715540        41          2214       +0.000678477714       1.399e+17
            42        -148.87946481968405      +0.00000001793532        42          2268       +0.000874835468       1.433e+17
            43        -148.87946480413379      +0.00000001555026        43          2322       +0.000809205816       1.467e+17
            44        -148.87946484070989      -0.00000003657610        44          2376       +0.000651757749       1.501e+17
            45        -148.87946482412821      +0.00000001658168        45          2430       +0.000716398385       1.535e+17
            46        -148.87946482756257      -0.00000000343437        46          2484       +0.000766767541       1.570e+17
            47        -148.87946484210357      -0.00000001454100        47          2538       +0.000747469357       1.604e+17
            48        -148.87946481488925      +0.00000002721433        48          2592       +0.000876017688       1.638e+17
            49        -148.87946481943516      -0.00000000454591        49          2646       +0.000762261119       1.672e+17
            50        -148.87946480595451      +0.00000001348064        50          2700       +0.000771563414       1.706e+17
