#Efci:-154.4194058179
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -154.40290229630926      -0.00604514819864         3            45       +0.442944087463       7.624e+03
             2        -154.40324343041866      -0.00034113410939         5            75       +0.333555143215       1.271e+04
             3        -154.40329099564573      -0.00004756522708         6            90       +0.457136293426       1.525e+04
             4        -154.40331546809944      -0.00002447245370         7           105       +0.406313289376       1.779e+04
             5        -154.40338422550067      -0.00006875740124         9           135       +0.396503043720       2.287e+04
             6        -154.40345115288321      -0.00006692738253        10           150       +0.466163815542       2.541e+04
             7        -154.40354894171887      -0.00009778883566        11           165       +0.463010087821       2.796e+04
             8        -154.40368694392313      -0.00013800220427        12           180       +0.333219415347       3.050e+04
             9        -154.40745641659373      -0.00376947267060        15           225       +0.409203346954       3.812e+04
            10        -154.40789378915278      -0.00043737255905        18           270       +0.368798699653       4.574e+04
            11        -154.40793718107972      -0.00004339192694        19           285       +0.366279283612       4.829e+04
            12        -154.40794322361091      -0.00000604253120        20           300       +0.450124382851       5.083e+04
            13        -154.40800586864100      -0.00006264503008        23           345       +0.449709511939       5.845e+04
            14        -154.40807059620181      -0.00006472756081        24           360       +0.302931753857       6.099e+04
            15        -154.40811666190498      -0.00004606570317        25           375       +0.499506843083       6.353e+04
            16        -154.40816476908557      -0.00004810718059        26           390       +0.282395867661       6.608e+04
            17        -154.40829676600399      -0.00013199691841        28           420       +0.321041299655       7.116e+04
            18        -154.40886885612483      -0.00057209012084        30           450       +0.568043554691       7.624e+04
            19        -154.40911100047296      -0.00024214434814        32           480       +0.354098089773       8.132e+04
