#Efci:-230.7911477999
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -230.72211590517668      -0.00029676261761         3           351       +1.195384943684       9.121e+03
             2        -230.72212454759375      -0.00000864241707         4           468       +1.140238442219       1.216e+04
             3        -230.72212698206917      -0.00000243447542         5           585       +1.252965589816       1.520e+04
             4        -230.72212825402744      -0.00000127195827         6           702       +1.313442609600       1.824e+04
             5        -230.72212906639427      -0.00000081236684         7           819       +1.174318452852       2.128e+04
             6        -230.72212977012165      -0.00000070372738         8           936       +1.024535076967       2.432e+04
             7        -230.72213043073836      -0.00000066061671         9          1053       +1.123152950124       2.736e+04
             8        -230.72213107234765      -0.00000064160929        10          1170       +1.223609261164       3.040e+04
             9        -230.72213172480073      -0.00000065245308        11          1287       +1.052351535671       3.344e+04
            10        -230.72213242801155      -0.00000070321082        12          1404       +1.140134995256       3.648e+04
            11        -230.72213321375870      -0.00000078574715        13          1521       +1.060889330229       3.952e+04
            12        -230.72213778582011      -0.00000457206141        15          1755       +1.160771597020       4.560e+04
            13        -230.72214315398051      -0.00000536816040        16          1872       +1.201776126689       4.865e+04
            14        -230.72214950095102      -0.00000634697051        17          1989       +1.257043156611       5.169e+04
            15        -230.72218875634218      -0.00003925539116        19          2223       +1.273171070140       5.777e+04
            16        -230.72223742903770      -0.00004867269553        20          2340       +1.157371389409       6.081e+04
            17        -230.72229954196436      -0.00006211292666        21          2457       +1.241314737797       6.385e+04
            18        -230.72271225076585      -0.00041270880149        23          2691       +1.127755604339       6.993e+04
            19        -230.72328339005409      -0.00057113928824        24          2808       +1.167299822190       7.297e+04
            20        -230.72407207375491      -0.00078868370082        25          2925       +1.162714293394       7.601e+04
            21        -230.72516927378908      -0.00109720003417        26          3042       +1.083943613630       7.905e+04
            22        -230.72668927479282      -0.00152000100374        27          3159       +1.104613254094       8.209e+04
            23        -230.72876727758640      -0.00207800279358        28          3276       +1.220704319305       8.513e+04
            24        -230.73152215102175      -0.00275487343535        29          3393       +1.119817782359       8.817e+04
            25        -230.73502787972529      -0.00350572870354        30          3510       +1.103611775260       9.121e+04
            26        -230.73908141207701      -0.00405353235172        31          3627       +1.149871998703       9.425e+04
            27        -230.75294966481039      -0.01386825273337        33          3861       +1.131240538417       1.003e+05
            28        -230.75385893289274      -0.00090926808235        35          4095       +1.146009090211       1.064e+05
            29        -230.75403784465277      -0.00017891176003        36          4212       +1.180780106265       1.095e+05
            30        -230.75407210724680      -0.00003426259403        37          4329       +1.211044940086       1.125e+05
            31        -230.75408264986692      -0.00001054262012        38          4446       +1.169679433437       1.155e+05
            32        -230.75408642496137      -0.00000377509446        39          4563       +1.190975461041       1.186e+05
            33        -230.75408818323416      -0.00000175827279        40          4680       +1.122458292006       1.216e+05
            34        -230.75408906919242      -0.00000088595826        41          4797       +1.320997566987       1.247e+05
            35        -230.75408955605857      -0.00000048686616        42          4914       +1.054025382702       1.277e+05
            36        -230.75408984842707      -0.00000029236850        43          5031       +1.133099889810       1.307e+05
            37        -230.75409003099392      -0.00000018256685        44          5148       +1.091590727614       1.338e+05
            38        -230.75409014712881      -0.00000011613488        45          5265       +1.116416022304       1.368e+05
            39        -230.75409022927391      -0.00000008214511        46          5382       +1.065023755109       1.399e+05
            40        -230.75409029044076      -0.00000006116684        47          5499       +1.105951901781       1.429e+05
            41        -230.75409053247927      -0.00000024203851        49          5733       +1.192120175144       1.490e+05
            42        -230.75409072875865      -0.00000019627939        50          5850       +1.131328941706       1.520e+05
            43        -230.75409089067273      -0.00000016191407        51          5967       +0.995626028647       1.551e+05
            44        -230.75409102618224      -0.00000013550951        52          6084       +1.049757188452       1.581e+05
            45        -230.75409113923462      -0.00000011305238        53          6201       +1.233541502832       1.611e+05
            46        -230.75409123523772      -0.00000009600311        54          6318       +1.116565539841       1.642e+05
            47        -230.75409132031965      -0.00000008508192        55          6435       +1.088188327610       1.672e+05
            48        -230.75409139792731      -0.00000007760767        56          6552       +0.995743608918       1.703e+05
            49        -230.75409176486744      -0.00000036694013        58          6786       +1.116340803074       1.763e+05
            50        -230.75409212351107      -0.00000035864363        59          6903       +1.118067581687       1.794e+05
