#Efci:-38.8089954648
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -38.77941053109757      -0.04140009294288         3           612       +0.976474113606       4.511e+16
             2        -38.79664578143241      -0.01723525033484         5          1020       +0.403010401309       7.519e+16
             3        -38.80054244490923      -0.00389666347682         7          1428       +0.164791536915       1.053e+17
             4        -38.80300828782281      -0.00246584291358         8          1632       +0.442667551169       1.203e+17
             5        -38.80509818777656      -0.00208989995375         9          1836       +0.157484686558       1.353e+17
             6        -38.80569841787867      -0.00060023010211        11          2244       +0.128638333125       1.654e+17
             7        -38.80668898049741      -0.00099056261874        12          2448       +0.105379320209       1.804e+17
             8        -38.80708415037591      -0.00039516987850        14          2856       +0.145504501236       2.105e+17
             9        -38.80759090974990      -0.00050675937400        15          3060       +0.129481596424       2.256e+17
            10        -38.80824061353454      -0.00064970378463        16          3264       +0.067529273000       2.406e+17
            11        -38.80842285550085      -0.00018224196631        18          3672       +0.068774938542       2.707e+17
            12        -38.80849381967266      -0.00007096417180        19          3876       +0.076702051409       2.857e+17
            13        -38.80852337772627      -0.00002955805362        21          4284       +0.045168959464       3.158e+17
            14        -38.80856881818414      -0.00004544045787        22          4488       +0.036839318755       3.308e+17
            15        -38.80858672290388      -0.00001790471973        24          4896       +0.034758580094       3.609e+17
            16        -38.80859423644842      -0.00000751354455        26          5304       +0.030024177399       3.910e+17
            17        -38.80860637195141      -0.00001213550298        27          5508       +0.022725976633       4.060e+17
            18        -38.80860989622541      -0.00000352427401        29          5916       +0.021575509069       4.361e+17
            19        -38.80861356770641      -0.00000367148100        30          6120       +0.017278332406       4.511e+17
            20        -38.80861827550301      -0.00000470779660        31          6324       +0.008746080694       4.662e+17
            21        -38.80861867808703      -0.00000040258402        33          6732       +0.008451692375       4.962e+17
            22        -38.80861933813404      -0.00000066004701        34          6936       +0.006744208592       5.113e+17
            23        -38.80862006477834      -0.00000072664430        35          7140       +0.004971394034       5.263e+17
            24        -38.80862023597630      -0.00000017119796        37          7548       +0.004092476992       5.564e+17
            25        -38.80862042355874      -0.00000018758244        38          7752       +0.002563729503       5.714e+17
            26        -38.80862050774255      -0.00000008418380        40          8160       +0.001055973280       6.015e+17
            27        -38.80862052933949      -0.00000002159694        42          8568       +0.001003801604       6.316e+17
            28        -38.80862055451800      -0.00000002517852        43          8772       +0.000596816242       6.466e+17
            29        -38.80862055917571      -0.00000000465771        45          9180       +0.000442673984       6.767e+17
            30        -38.80862056073406      -0.00000000155834        47          9588       +0.000402328773       7.068e+17
            31        -38.80862056224048      -0.00000000150643        48          9792       +0.000368819611       7.218e+17
            32        -38.80862056377485      -0.00000000153437        49          9996       +0.000320698891       7.368e+17
            33        -38.80862056501448      -0.00000000123963        50         10200       +0.000248626799       7.519e+17
            34        -38.80862056522871      -0.00000000021423        51         10404       +0.000239648398       7.669e+17
            35        -38.80862056535215      -0.00000000012344        52         10608       +0.000211808704       7.819e+17
            36        -38.80862056546844      -0.00000000011629        53         10812       +0.000214330760       7.970e+17
            37        -38.80862056558337      -0.00000000011492        54         11016       +0.000208005258       8.120e+17
            38        -38.80862056569998      -0.00000000011661        55         11220       +0.000207266140       8.271e+17
            39        -38.80862056581465      -0.00000000011467        56         11424       +0.000190855486       8.421e+17
            40        -38.80862056591314      -0.00000000009849        57         11628       +0.000206675713       8.571e+17
            41        -38.80862056599923      -0.00000000008609        58         11832       +0.000205456828       8.722e+17
            42        -38.80862056608072      -0.00000000008149        59         12036       +0.000194468598       8.872e+17
            43        -38.80862056615906      -0.00000000007834        60         12240       +0.000203023263       9.022e+17
            44        -38.80862056623643      -0.00000000007738        61         12444       +0.000200112056       9.173e+17
            45        -38.80862056630346      -0.00000000006703        62         12648       +0.000157536019       9.323e+17
            46        -38.80862056637657      -0.00000000007311        63         12852       +0.000193521709       9.473e+17
            47        -38.80862056645124      -0.00000000007467        64         13056       +0.000167859562       9.624e+17
            48        -38.80862056651255      -0.00000000006131        65         13260       +0.000182650870       9.774e+17
            49        -38.80862056655319      -0.00000000004064        66         13464       +0.000160792561       9.925e+17
            50        -38.80862056657796      -0.00000000002476        67         13668       +0.000159932988       1.007e+18
