#Efci:-153.4297174231
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -153.37506243888757      -0.02057695626226         2            52       +0.150290986008       2.552e+08
             2        -153.38471488062538      -0.00965244173781         3            78       +0.050582228018       3.828e+08
             3        -153.38672285445313      -0.00200797382774         4           104       +0.015912672227       5.104e+08
             4        -153.38682600779811      -0.00010315334498         5           130       +0.004436449724       6.380e+08
             5        -153.38684283652557      -0.00001682872747         6           156       +0.001610110423       7.655e+08
             6        -153.38684375914949      -0.00000092262391         7           182       +0.000999881426       8.931e+08
             7        -153.38684409786873      -0.00000033871925         8           208       +0.000669369793       1.021e+09
             8        -153.38684412603945      -0.00000002817072        10           260       +0.000545030859       1.276e+09
             9        -153.38684414255596      -0.00000001651651        11           286       +0.000554729908       1.403e+09
            10        -153.38684415030224      -0.00000000774628        12           312       +0.000609518880       1.531e+09
            11        -153.38684415858475      -0.00000000828251        13           338       +0.000664473099       1.659e+09
            12        -153.38684419118860      -0.00000003260385        15           390       +0.000431516214       1.914e+09
            13        -153.38684419357108      -0.00000000238248        16           416       +0.000691186921       2.041e+09
            14        -153.38684419501462      -0.00000000144354        17           442       +0.000678949768       2.169e+09
            15        -153.38684419618340      -0.00000000116879        18           468       +0.000514408134       2.297e+09
            16        -153.38684419740824      -0.00000000122483        19           494       +0.000471748236       2.424e+09
            17        -153.38684419929663      -0.00000000188840        20           520       +0.000502726088       2.552e+09
            18        -153.38684421250591      -0.00000001320927        22           572       +0.000533364744       2.807e+09
            19        -153.38684422301040      -0.00000001050449        23           598       +0.000448365935       2.935e+09
            20        -153.38684422635544      -0.00000000334504        24           624       +0.000575073696       3.062e+09
            21        -153.38684422673754      -0.00000000038210        25           650       +0.000573465893       3.190e+09
            22        -153.38684422682556      -0.00000000008802        26           676       +0.000751071801       3.317e+09
            23        -153.38684422688982      -0.00000000006426        27           702       +0.000471138193       3.445e+09
            24        -153.38684422695871      -0.00000000006889        28           728       +0.000687283705       3.573e+09
            25        -153.38684422847294      -0.00000000151422        31           806       +0.000434461162       3.955e+09
            26        -153.38684422968996      -0.00000000121702        32           832       +0.000530871516       4.083e+09
            27        -153.38684423059496      -0.00000000090500        33           858       +0.000564711452       4.210e+09
            28        -153.38684423268370      -0.00000000208874        35           910       +0.000524928418       4.466e+09
            29        -153.38684423294970      -0.00000000026600        37           962       +0.000633924090       4.721e+09
            30        -153.38684423294970      +0.00000000000000        44          1144       +0.000647532441       5.614e+09
