#Efci:-15.6506872611
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -15.64480463898809      -0.02006751424126         3           114       +0.311213084244       2.073e+10
             2        -15.64783718494239      -0.00303254595430         5           190       +0.149880733970       3.455e+10
             3        -15.64943541350712      -0.00159822856473         7           266       +0.105219680552       4.838e+10
             4        -15.64992957496541      -0.00049416145829         9           342       +0.065552204789       6.220e+10
             5        -15.65005972654423      -0.00013015157883        10           380       +0.086177527945       6.911e+10
             6        -15.65020940780617      -0.00014968126194        11           418       +0.061900080140       7.602e+10
             7        -15.65029466735991      -0.00008525955373        12           456       +0.057498365675       8.293e+10
             8        -15.65035678397810      -0.00006211661819        13           494       +0.035197813600       8.984e+10
             9        -15.65039256522181      -0.00003578124372        14           532       +0.024522694375       9.675e+10
            10        -15.65040972762800      -0.00001716240619        15           570       +0.021246826534       1.037e+11
            11        -15.65041422988688      -0.00000450225888        16           608       +0.019997057310       1.106e+11
            12        -15.65041867241067      -0.00000444252379        17           646       +0.016013134127       1.175e+11
            13        -15.65042380931400      -0.00000513690334        18           684       +0.014718157535       1.244e+11
            14        -15.65042835431200      -0.00000454499799        19           722       +0.010684166953       1.313e+11
            15        -15.65043045569853      -0.00000210138653        20           760       +0.010268625301       1.382e+11
            16        -15.65043139723306      -0.00000094153453        21           798       +0.008812834875       1.451e+11
            17        -15.65043165607088      -0.00000025883782        22           836       +0.008354957762       1.520e+11
            18        -15.65043203899571      -0.00000038292484        23           874       +0.010406308597       1.589e+11
            19        -15.65043241368404      -0.00000037468833        24           912       +0.007577412264       1.659e+11
            20        -15.65043264623440      -0.00000023255036        25           950       +0.010248746844       1.728e+11
            21        -15.65043275790029      -0.00000011166589        26           988       +0.007904419644       1.797e+11
            22        -15.65043281933347      -0.00000006143318        27          1026       +0.008596917643       1.866e+11
            23        -15.65043287235038      -0.00000005301691        28          1064       +0.007936077139       1.935e+11
            24        -15.65043292507334      -0.00000005272295        29          1102       +0.008720706613       2.004e+11
            25        -15.65043299617217      -0.00000007109884        30          1140       +0.008502389332       2.073e+11
            26        -15.65043327178187      -0.00000027560970        32          1216       +0.008475044406       2.211e+11
            27        -15.65043336485375      -0.00000009307187        33          1254       +0.007531134713       2.281e+11
            28        -15.65043336485376      -0.00000000000001        47          1786       +0.007836786399       3.248e+11
            29        -15.65043336485377      -0.00000000000001        50          1900       +0.007823000899       3.455e+11
            30        -15.65043336485377      +0.00000000000000        52          1976       +0.007211050242       3.594e+11
