#Efci:-75.5993068080
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -75.58289023862913      -0.02468775088833         3            96       +1.064780023795       1.102e+19
             2        -75.59452120446748      -0.01163096583835         5           160       +0.364181308873       1.837e+19
             3        -75.59620053686800      -0.00167933240051         7           224       +0.148105881089       2.572e+19
             4        -75.59838918340350      -0.00218864653550         8           256       +0.081796086178       2.939e+19
             5        -75.59852494390614      -0.00013576050264        10           320       +0.095306093680       3.674e+19
             6        -75.59865476498483      -0.00012982107869        11           352       +0.118551394176       4.041e+19
             7        -75.59884176574296      -0.00018700075813        12           384       +0.068141247301       4.408e+19
             8        -75.59888100335010      -0.00003923760714        14           448       +0.074043419580       5.143e+19
             9        -75.59894633264959      -0.00006532929949        15           480       +0.056980509692       5.511e+19
            10        -75.59897214630669      -0.00002581365710        17           544       +0.056614032165       6.245e+19
            11        -75.59900918762168      -0.00003704131498        18           576       +0.033518112573       6.613e+19
            12        -75.59902848975139      -0.00001930212972        20           640       +0.020232190136       7.347e+19
            13        -75.59903174659576      -0.00000325684437        22           704       +0.011504296197       8.082e+19
            14        -75.59903532225538      -0.00000357565962        23           736       +0.005253552011       8.449e+19
            15        -75.59903558935451      -0.00000026709914        25           800       +0.005219114849       9.184e+19
            16        -75.59903603650558      -0.00000044715107        26           832       +0.003768514482       9.552e+19
            17        -75.59903609692350      -0.00000006041792        28           896       +0.003865675268       1.029e+20
            18        -75.59903620671612      -0.00000010979262        29           928       +0.003263507528       1.065e+20
            19        -75.59903624894167      -0.00000004222555        31           992       +0.003257076860       1.139e+20
            20        -75.59903632292847      -0.00000007398680        32          1024       +0.002670817710       1.176e+20
            21        -75.59903642697698      -0.00000010404851        33          1056       +0.001658611284       1.212e+20
            22        -75.59903644666649      -0.00000001968951        35          1120       +0.001300483003       1.286e+20
            23        -75.59903647378262      -0.00000002711613        36          1152       +0.000755499849       1.323e+20
            24        -75.59903647687847      -0.00000000309585        38          1216       +0.000640966666       1.396e+20
            25        -75.59903648183645      -0.00000000495798        39          1248       +0.000428762089       1.433e+20
            26        -75.59903648228418      -0.00000000044773        41          1312       +0.000415485689       1.506e+20
            27        -75.59903648309960      -0.00000000081542        42          1344       +0.000357890070       1.543e+20
            28        -75.59903648434819      -0.00000000124859        43          1376       +0.000238444128       1.580e+20
            29        -75.59903648447934      -0.00000000013115        45          1440       +0.000227176464       1.653e+20
            30        -75.59903648472104      -0.00000000024170        46          1472       +0.000199212093       1.690e+20
            31        -75.59903648511528      -0.00000000039424        47          1504       +0.000140470765       1.727e+20
            32        -75.59903648539351      -0.00000000027823        48          1536       +0.000027547277       1.763e+20
            33        -75.59903648546360      -0.00000000007009        50          1600       +0.000014679563       1.837e+20
            34        -75.59903648548254      -0.00000000001894        52          1664       +0.000011947612       1.910e+20
            35        -75.59903648548551      -0.00000000000297        54          1728       +0.000007407086       1.984e+20
            36        -75.59903648548644      -0.00000000000092        55          1760       +0.000007401397       2.021e+20
            37        -75.59903648548698      -0.00000000000054        56          1792       +0.000008271047       2.057e+20
            38        -75.59903648548719      -0.00000000000021        57          1824       +0.000007665646       2.094e+20
            39        -75.59903648548720      -0.00000000000001        58          1856       +0.000005679496       2.131e+20
            40        -75.59903648548720      +0.00000000000000        59          1888       +0.000006731642       2.167e+20
