#Efci:-4.3360656518
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -4.31113611153940      -0.10975267747458         3           552       +0.305405995722       1.809e+15
             2        -4.32759824829751      -0.01646213675811         5           920       +0.159908538736       3.015e+15
             3        -4.33221924449656      -0.00462099619904         7          1288       +0.097680505953       4.221e+15
             4        -4.33374419767323      -0.00152495317668         9          1656       +0.054846988689       5.427e+15
             5        -4.33421363711037      -0.00046943943714        11          2024       +0.032758689268       6.633e+15
             6        -4.33441157643758      -0.00019793932721        13          2392       +0.022676811985       7.839e+15
             7        -4.33450722557895      -0.00009564914137        15          2760       +0.012958316298       9.045e+15
             8        -4.33453236209964      -0.00002513652068        17          3128       +0.005156545384       1.025e+16
             9        -4.33453643174980      -0.00000406965017        19          3496       +0.001947832077       1.146e+16
            10        -4.33453705540888      -0.00000062365908        21          3864       +0.000834303324       1.266e+16
            11        -4.33453714895286      -0.00000009354398        23          4232       +0.000359240372       1.387e+16
            12        -4.33453716771359      -0.00000001876073        25          4600       +0.000161558403       1.507e+16
            13        -4.33453717204380      -0.00000000433021        27          4968       +0.000081466908       1.628e+16
            14        -4.33453717294908      -0.00000000090529        29          5336       +0.000041509401       1.749e+16
            15        -4.33453717311910      -0.00000000017001        31          5704       +0.000022521934       1.869e+16
            16        -4.33453717314196      -0.00000000002287        33          6072       +0.000019077775       1.990e+16
            17        -4.33453717314376      -0.00000000000180        34          6256       +0.000018368884       2.050e+16
            18        -4.33453717314439      -0.00000000000063        35          6440       +0.000020220490       2.110e+16
            19        -4.33453717314490      -0.00000000000050        36          6624       +0.000018656050       2.171e+16
            20        -4.33453717314543      -0.00000000000054        37          6808       +0.000018190270       2.231e+16
            21        -4.33453717314613      -0.00000000000070        38          6992       +0.000017830326       2.291e+16
            22        -4.33453717314697      -0.00000000000084        39          7176       +0.000019992531       2.352e+16
            23        -4.33453717314805      -0.00000000000108        40          7360       +0.000017897850       2.412e+16
            24        -4.33453717314939      -0.00000000000134        41          7544       +0.000017552147       2.472e+16
            25        -4.33453717315096      -0.00000000000157        42          7728       +0.000017164516       2.533e+16
            26        -4.33453717315268      -0.00000000000172        43          7912       +0.000016621165       2.593e+16
            27        -4.33453717315430      -0.00000000000162        44          8096       +0.000016693988       2.653e+16
            28        -4.33453717315565      -0.00000000000135        45          8280       +0.000016261960       2.713e+16
            29        -4.33453717315655      -0.00000000000090        46          8464       +0.000016018985       2.774e+16
            30        -4.33453717315702      -0.00000000000047        47          8648       +0.000014380098       2.834e+16
            31        -4.33453717315737      -0.00000000000036        48          8832       +0.000016116626       2.894e+16
            32        -4.33453717315759      -0.00000000000022        49          9016       +0.000013995809       2.955e+16
            33        -4.33453717315775      -0.00000000000016        50          9200       +0.000015226616       3.015e+16
            34        -4.33453717315788      -0.00000000000014        51          9384       +0.000015575736       3.075e+16
            35        -4.33453717315804      -0.00000000000015        52          9568       +0.000015678567       3.136e+16
            36        -4.33453717315821      -0.00000000000017        53          9752       +0.000016549561       3.196e+16
            37        -4.33453717315837      -0.00000000000016        54          9936       +0.000016949193       3.256e+16
            38        -4.33453717315852      -0.00000000000016        55         10120       +0.000015889156       3.316e+16
            39        -4.33453717315874      -0.00000000000021        56         10304       +0.000015558660       3.377e+16
            40        -4.33453717315898      -0.00000000000024        57         10488       +0.000016700435       3.437e+16
            41        -4.33453717315924      -0.00000000000027        58         10672       +0.000015920038       3.497e+16
            42        -4.33453717315952      -0.00000000000028        59         10856       +0.000015833004       3.558e+16
            43        -4.33453717315981      -0.00000000000029        60         11040       +0.000016317273       3.618e+16
            44        -4.33453717316012      -0.00000000000030        61         11224       +0.000015812882       3.678e+16
            45        -4.33453717316041      -0.00000000000029        62         11408       +0.000017285039       3.738e+16
            46        -4.33453717316063      -0.00000000000022        63         11592       +0.000016054790       3.799e+16
            47        -4.33453717316080      -0.00000000000017        64         11776       +0.000014096628       3.859e+16
            48        -4.33453717316094      -0.00000000000015        65         11960       +0.000013614415       3.919e+16
            49        -4.33453717316109      -0.00000000000014        66         12144       +0.000016446793       3.980e+16
            50        -4.33453717316118      -0.00000000000010        67         12328       +0.000015207961       4.040e+16
