#Efci:-7.9723355824
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -7.96874474080512      -0.01677320184646         3           276       +0.222048197662       3.066e+13
             2        -7.97143990854498      -0.00269516773986         5           460       +0.048412412570       5.111e+13
             3        -7.97170315055806      -0.00026324201308         7           644       +0.044641809816       7.155e+13
             4        -7.97187831367062      -0.00017516311256         8           736       +0.041340755125       8.177e+13
             5        -7.97205117488730      -0.00017286121668         9           828       +0.021392960929       9.199e+13
             6        -7.97211961741756      -0.00006844253025        11          1012       +0.028853508969       1.124e+14
             7        -7.97222614818559      -0.00010653076804        12          1104       +0.016900315359       1.227e+14
             8        -7.97227532328014      -0.00004917509454        14          1288       +0.020948139501       1.431e+14
             9        -7.97229110289933      -0.00001577961920        15          1380       +0.023621648044       1.533e+14
            10        -7.97231296040104      -0.00002185750170        16          1472       +0.014453466383       1.635e+14
            11        -7.97231564903824      -0.00000268863720        17          1564       +0.010632869719       1.738e+14
            12        -7.97231992551442      -0.00000427647618        18          1656       +0.007816068940       1.840e+14
            13        -7.97232162920322      -0.00000170368880        19          1748       +0.009063663596       1.942e+14
            14        -7.97232404689313      -0.00000241768991        20          1840       +0.005249081822       2.044e+14
            15        -7.97232486812552      -0.00000082123239        22          2024       +0.003756839009       2.249e+14
            16        -7.97232518130176      -0.00000031317624        24          2208       +0.002485224195       2.453e+14
            17        -7.97232550075759      -0.00000031945583        25          2300       +0.000478891154       2.555e+14
            18        -7.97232551260991      -0.00000001185232        27          2484       +0.000268912352       2.760e+14
            19        -7.97232551650282      -0.00000000389291        29          2668       +0.000172800392       2.964e+14
            20        -7.97232551780999      -0.00000000130717        31          2852       +0.000151076155       3.169e+14
            21        -7.97232551839113      -0.00000000058114        32          2944       +0.000159601879       3.271e+14
            22        -7.97232551889200      -0.00000000050087        33          3036       +0.000141939443       3.373e+14
            23        -7.97232551923694      -0.00000000034493        34          3128       +0.000121308781       3.475e+14
            24        -7.97232551945947      -0.00000000022253        35          3220       +0.000133769646       3.577e+14
            25        -7.97232551953014      -0.00000000007067        36          3312       +0.000129365480       3.680e+14
            26        -7.97232551955947      -0.00000000002932        37          3404       +0.000133113930       3.782e+14
            27        -7.97232551957915      -0.00000000001968        38          3496       +0.000124021167       3.884e+14
            28        -7.97232551959447      -0.00000000001532        39          3588       +0.000124173087       3.986e+14
            29        -7.97232551961032      -0.00000000001585        40          3680       +0.000136198097       4.088e+14
            30        -7.97232551962918      -0.00000000001886        41          3772       +0.000125424561       4.191e+14
            31        -7.97232551965396      -0.00000000002478        42          3864       +0.000113199156       4.293e+14
            32        -7.97232551968952      -0.00000000003556        43          3956       +0.000130904472       4.395e+14
            33        -7.97232551973630      -0.00000000004678        44          4048       +0.000113518655       4.497e+14
            34        -7.97232551979476      -0.00000000005846        45          4140       +0.000104415528       4.600e+14
            35        -7.97232551985597      -0.00000000006122        46          4232       +0.000120184938       4.702e+14
            36        -7.97232551990807      -0.00000000005210        47          4324       +0.000103667296       4.804e+14
            37        -7.97232551993780      -0.00000000002973        48          4416       +0.000102238249       4.906e+14
            38        -7.97232551995463      -0.00000000001683        49          4508       +0.000104491095       5.008e+14
            39        -7.97232551996649      -0.00000000001186        50          4600       +0.000126326621       5.111e+14
            40        -7.97232551997452      -0.00000000000803        51          4692       +0.000112652966       5.213e+14
            41        -7.97232551998018      -0.00000000000566        52          4784       +0.000131021624       5.315e+14
            42        -7.97232551998428      -0.00000000000410        53          4876       +0.000113296772       5.417e+14
            43        -7.97232551998779      -0.00000000000351        54          4968       +0.000113250793       5.519e+14
            44        -7.97232551999114      -0.00000000000335        55          5060       +0.000121826147       5.622e+14
            45        -7.97232551999505      -0.00000000000391        56          5152       +0.000125849440       5.724e+14
            46        -7.97232552000001      -0.00000000000496        57          5244       +0.000106926662       5.826e+14
            47        -7.97232552000638      -0.00000000000637        58          5336       +0.000108057857       5.928e+14
            48        -7.97232552001524      -0.00000000000887        59          5428       +0.000094324288       6.030e+14
            49        -7.97232552006605      -0.00000000005081        61          5612       +0.000104328317       6.235e+14
            50        -7.97232552009039      -0.00000000002434        62          5704       +0.000104009510       6.337e+14
