#Efci:-108.5143012407
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -108.07319189796465      -0.14450196162466         2           182       +2.529728492464       2.774e+17
             2        -108.11638960737997      -0.04319770941532         4           364       +1.247751624488       5.549e+17
             3        -108.13687833412509      -0.02048872674511         6           546       +1.152182098585       8.323e+17
             4        -108.17109116243256      -0.03421282830747         7           637       +1.095148543437       9.710e+17
             5        -108.23122522250785      -0.06013406007528         8           728       +0.995776436367       1.110e+18
             6        -108.31516482944149      -0.08393960693364         9           819       +1.067013201567       1.248e+18
             7        -108.34052076613908      -0.02535593669759        11          1001       +1.174649978378       1.526e+18
             8        -108.38299341073086      -0.04247264459178        12          1092       +0.922563516463       1.665e+18
             9        -108.42090844254936      -0.03791503181850        13          1183       +1.163040401135       1.803e+18
            10        -108.43527090858628      -0.01436246603691        15          1365       +1.119164196035       2.081e+18
            11        -108.45921662875652      -0.02394572017025        16          1456       +0.838489781519       2.220e+18
            12        -108.46445166135294      -0.00523503259642        17          1547       +1.527929247336       2.358e+18
            13        -108.47228525615014      -0.00783359479721        18          1638       +1.346121907853       2.497e+18
            14        -108.48351871898716      -0.01123346283701        19          1729       +1.129759294873       2.636e+18
            15        -108.49568685182550      -0.01216813283834        20          1820       +0.772565786513       2.774e+18
            16        -108.49825448470276      -0.00256763287726        22          2002       +0.645463879640       3.052e+18
            17        -108.50174041373180      -0.00348592902904        23          2093       +0.502315266650       3.191e+18
            18        -108.50550813469191      -0.00376772096011        24          2184       +0.275787166399       3.329e+18
            19        -108.50639011203603      -0.00088197734412        26          2366       +0.193347890435       3.607e+18
            20        -108.50676400382304      -0.00037389178701        28          2548       +0.160999109217       3.884e+18
            21        -108.50736110537775      -0.00059710155472        29          2639       +0.115721775409       4.023e+18
            22        -108.50766843542937      -0.00030733005161        31          2821       +0.106207439900       4.300e+18
            23        -108.50780200259369      -0.00013356716433        33          3003       +0.093409527140       4.578e+18
            24        -108.50799707193457      -0.00019506934088        34          3094       +0.070760708831       4.716e+18
            25        -108.50815287834386      -0.00015580640930        35          3185       +0.066723924515       4.855e+18
            26        -108.50818421048768      -0.00003133214382        37          3367       +0.056707585872       5.133e+18
            27        -108.50822226317979      -0.00003805269210        38          3458       +0.048390619028       5.271e+18
            28        -108.50827246265209      -0.00005019947230        39          3549       +0.030713410723       5.410e+18
            29        -108.50828312532349      -0.00001066267140        41          3731       +0.025583116228       5.687e+18
            30        -108.50829275143865      -0.00000962611516        42          3822       +0.021731703076       5.826e+18
            31        -108.50830502479205      -0.00001227335341        43          3913       +0.011290071826       5.965e+18
            32        -108.50830652484859      -0.00000150005654        45          4095       +0.010658326317       6.242e+18
            33        -108.50830886880249      -0.00000234395389        46          4186       +0.008493870213       6.381e+18
            34        -108.50831009052736      -0.00000122172487        47          4277       +0.008938137576       6.520e+18
            35        -108.50831037220016      -0.00000028167280        48          4368       +0.008163468724       6.659e+18
            36        -108.50831089930546      -0.00000052710530        49          4459       +0.007324706766       6.797e+18
            37        -108.50831133660141      -0.00000043729595        50          4550       +0.007378647569       6.936e+18
            38        -108.50831206112841      -0.00000072452700        51          4641       +0.005519815444       7.075e+18
            39        -108.50831223289811      -0.00000017176970        52          4732       +0.005536097641       7.213e+18
            40        -108.50831250915314      -0.00000027625504        53          4823       +0.004501825498       7.352e+18
            41        -108.50831288452949      -0.00000037537635        54          4914       +0.002904131477       7.491e+18
            42        -108.50831296354391      -0.00000007901443        56          5096       +0.002329832373       7.768e+18
            43        -108.50831307624495      -0.00000011270103        57          5187       +0.001434674221       7.907e+18
            44        -108.50831312593857      -0.00000004969363        59          5369       +0.000873692661       8.184e+18
            45        -108.50831313926041      -0.00000001332184        61          5551       +0.000787991127       8.462e+18
            46        -108.50831315906402      -0.00000001980361        62          5642       +0.000449442641       8.601e+18
            47        -108.50831316359780      -0.00000000453379        64          5824       +0.000434106747       8.878e+18
            48        -108.50831317000788      -0.00000000641008        65          5915       +0.000338537449       9.017e+18
            49        -108.50831317283570      -0.00000000282782        66          6006       +0.000450015328       9.155e+18
            50        -108.50831317674269      -0.00000000390699        67          6097       +0.000339130218       9.294e+18
