#Efci:-148.8881375281
#    k iteration         Energy               dE           Ngvec ev      Ngm ev*         ||g||           Nshots
#------------------------------------------------------------------------------------------------------------------
             1        -148.83902772635730      -0.05497162729714         3           162       +1.350463963192       1.024e+14
             2        -148.85845557425668      -0.01942784789938         5           270       +0.570485115410       1.706e+14
             3        -148.86305370440905      -0.00459813015237         7           378       +0.368186531721       2.388e+14
             4        -148.86947467835938      -0.00642097395033         8           432       +0.252376585543       2.730e+14
             5        -148.87025276815947      -0.00077808980009        10           540       +0.281180487920       3.412e+14
             6        -148.87133966829541      -0.00108690013593        11           594       +0.246056517561       3.753e+14
             7        -148.87266408904998      -0.00132442075457        12           648       +0.197135842372       4.094e+14
             8        -148.87284002178816      -0.00017593273819        14           756       +0.212534808981       4.777e+14
             9        -148.87313925105488      -0.00029922926672        15           810       +0.187381070931       5.118e+14
            10        -148.87344246745585      -0.00030321640097        16           864       +0.203340321389       5.459e+14
            11        -148.87346910607670      -0.00002663862085        17           918       +0.283281816195       5.800e+14
            12        -148.87370835600092      -0.00023924992422        19          1026       +0.251461402413       6.483e+14
            13        -148.87391969772804      -0.00021134172712        20          1080       +0.242804870532       6.824e+14
            14        -148.87426089525351      -0.00034119752547        21          1134       +0.211132485227       7.165e+14
            15        -148.87440176848440      -0.00014087323089        23          1242       +0.207442256494       7.848e+14
            16        -148.87465561499010      -0.00025384650570        24          1296       +0.180177787324       8.189e+14
            17        -148.87479401304884      -0.00013839805874        25          1350       +0.200026534036       8.530e+14
            18        -148.87503398510981      -0.00023997206097        26          1404       +0.175876700921       8.871e+14
            19        -148.87520692608379      -0.00017294097398        27          1458       +0.194001073866       9.213e+14
            20        -148.87553055308399      -0.00032362700020        28          1512       +0.171870453162       9.554e+14
            21        -148.87571302658799      -0.00018247350400        29          1566       +0.220510252513       9.895e+14
            22        -148.87602732630228      -0.00031429971429        30          1620       +0.205095072544       1.024e+15
            23        -148.87642173095631      -0.00039440465403        31          1674       +0.199673021316       1.058e+15
            24        -148.87711937052958      -0.00069763957327        32          1728       +0.162022931426       1.092e+15
            25        -148.87736994613613      -0.00025057560654        33          1782       +0.259384175414       1.126e+15
            26        -148.87782030608219      -0.00045035994606        34          1836       +0.230438646172       1.160e+15
            27        -148.87798923079484      -0.00016892471265        35          1890       +0.267512390929       1.194e+15
            28        -148.87828035724823      -0.00029112645339        36          1944       +0.241003423311       1.228e+15
            29        -148.87848638747604      -0.00020603022782        37          1998       +0.239221481946       1.262e+15
            30        -148.87881132455408      -0.00032493707803        38          2052       +0.190570777948       1.297e+15
            31        -148.87890653508509      -0.00009521053101        40          2160       +0.172998299588       1.365e+15
            32        -148.87906834915719      -0.00016181407210        41          2214       +0.142348123923       1.399e+15
            33        -148.87912527346742      -0.00005692431023        42          2268       +0.136925959122       1.433e+15
            34        -148.87921676684198      -0.00009149337455        43          2322       +0.114756042814       1.467e+15
            35        -148.87925658086959      -0.00003981402762        44          2376       +0.113238819329       1.501e+15
            36        -148.87931955630333      -0.00006297543374        45          2430       +0.090972256604       1.535e+15
            37        -148.87932729874004      -0.00000774243671        46          2484       +0.084052199261       1.570e+15
            38        -148.87934221697259      -0.00001491823255        47          2538       +0.078028265849       1.604e+15
            39        -148.87936547791261      -0.00002326094003        48          2592       +0.062451538162       1.638e+15
            40        -148.87938403030623      -0.00001855239361        49          2646       +0.054179308893       1.672e+15
            41        -148.87940530173165      -0.00002127142542        50          2700       +0.036315107302       1.706e+15
            42        -148.87940939773253      -0.00000409600088        52          2808       +0.035232561733       1.774e+15
            43        -148.87941563176821      -0.00000623403568        53          2862       +0.029130700598       1.808e+15
            44        -148.87942354829971      -0.00000791653150        54          2916       +0.026234544844       1.843e+15
            45        -148.87942868071664      -0.00000513241693        55          2970       +0.021850099597       1.877e+15
            46        -148.87943236923482      -0.00000368851818        56          3024       +0.018424601175       1.911e+15
            47        -148.87943300725584      -0.00000063802102        58          3132       +0.018057970094       1.979e+15
            48        -148.87943376546741      -0.00000075821157        59          3186       +0.019497907621       2.013e+15
            49        -148.87943458916547      -0.00000082369806        60          3240       +0.014653305412       2.047e+15
            50        -148.87943543605951      -0.00000084689404        61          3294       +0.014414525477       2.081e+15
